Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,352,1014,0,0,0,0,0,0
1,352,1014,0,0,0,0,0,0
2,352,1014,1,3,0,0,0,0
3,352,1014,0,0,0,0,0,0
4,352,1014,1,3,0,0,0,0
5,352,1014,3,11,0,0,0,0
6,352,1014,1,1,0,0,0,0
7,352,1014,2,5,0,0,0,0
8,352,1014,2,9,0,0,0,0
9,352,1014,1,4,0,0,0,0
10,352,1014,1,1,0,0,0,0
11,352,1014,0,0,0,0,0,0
12,352,1014,1,2,0,0,0,0
13,352,1014,2,6,0,0,0,0
14,352,1014,2,8,0,0,0,0
15,352,1014,1,2,0,0,0,0
16,352,1014,1,4,0,0,0,0
17,352,1014,1,4,0,0,0,0
18,352,1014,0,0,0,0,0,0
19,352,1014,2,2,0,0,0,0
20,352,1014,2,4,0,0,0,0
21,352,1014,0,0,0,0,0,0
22,352,1014,1,3,0,0,0,0
23,352,1014,0,0,0,0,0,0
24,352,1014,0,0,0,0,0,0
25,352,1014,0,0,0,0,0,0
26,352,1014,2,5,0,0,0,0
27,352,1014,0,0,0,0,0,0
28,352,1014,2,8,0,0,0,0
29,352,1014,2,8,0,0,0,0
30,352,1014,0,0,0,0,0,0
31,352,1014,0,0,0,0,0,0
32,352,1014,0,0,0,0,0,0
33,352,1014,1,1,0,0,0,0
34,352,1014,0,0,0,0,0,0
35,352,1014,1,2,0,0,0,0
36,352,1014,1,2,0,0,0,0
37,352,1014,0,0,0,0,0,0
38,352,1014,1,2,0,0,0,0
39,352,1014,3,10,0,0,0,0
40,352,1014,0,0,0,0,0,0
41,352,1014,1,3,0,0,0,0
42,351,1009,0,0,1,5,1,0
43,351,1009,3,10,0,0,1,33.9985
44,351,1009,2,4,0,0,1,33.9985
45,351,1009,0,0,0,0,1,33.9985
46,351,1009,1,4,0,0,1,33.9985
47,351,1009,1,1,0,0,1,33.9985
48,351,1009,1,1,0,0,1,33.9985
49,351,1009,0,0,0,0,1,33.9985
50,351,1009,0,0,0,0,1,33.9985
51,350,1004,0,0,1,5,2,33.9985
52,350,1004,0,0,0,0,2,39.70439
53,349,999,2,3,1,5,4,39.70439
54,348,997,1,5,1,2,5,42.23454
55,347,994,1,2,1,3,6,42.00769
56,346,991,1,2,1,3,7,43.85331
57,346,991,3,4,0,0,7,42.31003
58,345,987,1,1,1,4,8,42.31003
59,345,987,3,9,0,0,8,43.384
60,343,981,0,0,2,6,10,43.384
61,343,981,2,6,0,0,10,42.5364
62,342,976,1,1,1,5,11,42.5364
63,340,967,1,2,2,9,13,43.06057
64,339,966,3,7,1,1,14,42.67875
65,339,966,0,0,0,0,14,43.89495
66,338,965,1,2,1,1,15,43.89495
67,338,965,3,8,0,0,15,43.67022
68,337,962,0,0,1,3,16,43.67022
69,335,958,1,3,2,4,19,43.42862
70,334,956,1,4,1,2,20,44.8519
71,333,955,1,2,1,1,21,44.25652
72,332,952,1,2,1,3,23,44.65439
73,332,952,1,2,0,0,23,45.36555
74,330,946,1,1,2,6,25,45.36555
75,330,946,0,0,0,0,25,45.26621
76,328,939,0,0,2,7,27,45.26621
77,328,939,1,3,0,0,27,44.64644
78,327,938,1,5,1,1,28,44.64644
79,327,938,4,17,0,0,28,45.79863
80,327,938,0,0,0,0,28,45.79863
81,326,937,1,2,1,1,29,45.79863
82,325,933,1,5,1,4,31,45.36831
83,324,930,0,0,1,3,32,45.1249
84,324,930,0,0,0,0,32,46.01981
85,323,929,1,3,1,1,33,46.01981
86,323,929,0,0,0,0,33,46.69539
87,322,927,1,2,1,2,35,46.69539
88,321,926,1,2,1,1,36,46.57495
89,320,922,3,10,1,4,37,46.35069
90,319,921,2,6,1,1,38,47.4581
91,319,921,1,1,0,0,38,47.73212
92,317,916,1,3,2,5,42,47.73212
93,317,916,2,7,0,0,42,48.62421
94,316,915,0,0,1,1,43,48.62421
95,316,915,2,6,0,0,43,49.61031
96,316,915,1,4,0,0,43,49.61031
97,315,913,1,4,1,2,44,49.61031
98,315,913,2,5,0,0,44,49.26577
99,313,909,3,15,2,4,46,49.26577
100,312,907,1,4,1,2,47,49.99282
101,310,902,2,7,2,5,49,50.16396
102,310,902,1,2,0,0,49,49.59401
103,308,895,2,4,2,7,52,49.59401
104,306,893,1,4,2,2,54,50.18268
105,305,889,1,2,1,4,55,49.69817
106,305,889,2,8,0,0,55,49.39921
107,305,889,1,4,0,0,55,49.39921
108,305,889,1,4,0,0,55,49.39921
109,305,889,1,5,0,0,55,49.39921
110,303,884,2,3,2,5,57,49.39921
111,303,884,2,6,0,0,57,49.47728
112,302,879,0,0,1,5,58,49.47728
113,299,869,4,17,3,10,62,49.17453
114,299,869,1,1,0,0,62,49.22433
115,299,869,3,5,0,0,62,49.22433
116,297,865,0,0,2,4,64,49.22433
117,297,865,1,2,0,0,64,50.45093
118,297,865,0,0,0,0,64,50.45093
119,295,859,2,7,2,6,68,50.45093
120,295,859,2,3,0,0,68,51.13808
121,295,859,1,3,0,0,68,51.13808
122,294,857,2,2,1,2,69,51.13808
123,293,855,0,0,1,2,70,51.12245
124,293,855,2,3,0,0,70,50.85503
125,293,855,0,0,0,0,70,50.85503
126,291,846,1,1,2,9,73,50.85503
127,291,846,0,0,0,0,73,51.14478
128,291,846,2,7,0,0,73,51.14478
129,290,844,1,4,1,2,74,51.14478
130,288,835,0,0,2,9,76,51.70354
131,285,827,2,7,3,8,79,52.47958
132,285,827,2,8,0,0,79,52.21162
133,284,826,1,3,1,1,80,52.21162
134,283,825,1,3,1,1,81,52.55002
135,281,819,2,5,2,6,83,52.43876
136,279,810,2,4,2,9,87,53.61528
137,277,800,2,3,2,10,90,53.86439
138,274,791,0,0,3,9,95,53.71484
139,271,781,2,6,3,10,98,53.87103
140,269,778,1,3,2,3,100,54.17092
141,268,775,1,3,1,3,101,54.37918
142,267,773,2,6,1,2,102,54.92073
143,266,768,1,3,1,5,104,54.74861
144,265,766,1,3,1,2,105,54.73648
145,263,761,2,9,2,5,107,55.03858
146,263,761,1,3,0,0,107,55.26583
147,261,757,1,1,2,4,110,55.26583
148,260,752,0,0,1,5,111,55.62194
149,258,742,1,4,2,10,113,55.55278
150,255,738,1,1,3,4,116,55.67828
151,253,732,1,2,2,6,118,56.29427
152,253,732,2,4,0,0,118,55.96412
153,252,727,0,0,1,5,119,55.96412
154,251,726,0,0,1,1,120,55.74437
155,249,723,1,5,2,3,122,55.57837
156,248,722,0,0,1,1,123,55.78864
157,246,716,0,0,2,6,125,55.57878
158,246,716,2,3,0,0,125,55.70738
159,246,716,0,0,0,0,125,55.70738
160,246,716,0,0,0,0,125,55.70738
161,246,716,1,5,0,0,125,55.70738
162,245,714,1,3,1,2,127,55.70738
163,245,714,1,1,0,0,127,55.58012
164,244,712,1,5,1,2,128,55.58012
165,243,711,0,0,1,1,129,55.92806
166,243,711,2,5,0,0,129,55.88319
167,240,705,2,9,3,6,132,55.88319
168,237,696,0,0,3,9,136,56.10931
169,236,692,0,0,1,4,138,55.88372
170,235,687,1,5,1,5,139,55.74707
171,234,686,1,1,1,1,140,55.87671
172,233,682,2,3,1,4,142,55.69639
173,231,678,1,2,2,4,145,55.59631
174,230,674,1,5,1,4,147,55.79792
175,230,674,2,6,0,0,147,55.88478
176,230,674,2,6,0,0,147,55.88478
177,228,669,2,9,2,5,149,55.88478
178,228,669,2,6,0,0,149,56.0973
179,225,659,0,0,3,10,152,56.0973
180,224,655,3,7,1,4,154,55.76757
181,220,642,3,10,4,13,158,55.89181
182,219,639,0,0,1,3,159,55.57725
183,218,634,1,3,1,5,160,55.94687
184,217,632,0,0,1,2,161,55.80947
185,216,629,1,2,1,3,162,55.87824
186,216,629,2,9,0,0,162,56.01759
187,213,616,2,5,3,13,165,56.01759
188,213,616,1,1,0,0,165,56.48155
189,211,609,1,4,2,7,168,56.48155
190,209,605,2,5,2,4,171,56.62554
191,206,596,1,1,3,9,174,56.44661
192,205,593,2,5,1,3,176,56.60892
193,204,589,2,7,1,4,177,56.9076
194,203,588,1,4,1,1,178,57.11056
195,203,588,0,0,0,0,178,57.20106
196,202,586,4,14,1,2,179,57.20106
197,202,586,0,0,0,0,179,57.11742
198,201,582,2,6,1,4,181,57.11742
199,201,582,0,0,0,0,181,57.30359
200,200,580,3,8,1,2,183,57.30359
201,199,577,0,0,1,3,185,57.54693
202,197,570,0,0,2,7,188,57.59977
203,196,569,2,5,1,1,189,57.44586
204,196,569,1,1,0,0,189,57.33376
205,196,569,1,2,0,0,189,57.33376
206,196,569,1,3,0,0,189,57.33376
207,194,563,0,0,2,6,192,57.33376
208,193,560,1,2,1,3,194,57.52189
209,191,553,0,0,2,7,197,57.76959
210,183,532,2,4,8,21,206,57.54399
211,181,525,2,8,2,7,209,57.1481
212,180,524,0,0,1,1,210,57.3253
213,180,524,0,0,0,0,210,57.19184
214,176,513,0,0,4,11,214,57.19184
215,173,505,2,8,3,8,218,57.41765
216,171,496,0,0,2,9,221,57.61354
217,170,493,1,3,1,3,222,57.74057
218,170,493,1,5,0,0,222,57.95033
219,170,493,1,2,0,0,222,57.95033
220,169,490,1,3,1,3,223,57.95033
221,166,484,1,1,3,6,226,57.83281
222,166,484,2,6,0,0,226,57.51442
223,166,484,4,15,0,0,226,57.51442
224,165,480,0,0,1,4,227,57.51442
225,164,479,1,5,1,1,228,57.3889
226,164,479,1,1,0,0,228,57.26705
227,163,478,0,0,1,1,229,57.26705
228,163,478,0,0,0,0,229,57.52243
229,162,474,2,6,1,4,230,57.52243
230,160,468,3,8,2,6,232,57.4291
231,159,465,0,0,1,3,233,57.22549
232,158,460,2,5,1,5,234,57.19285
233,158,460,2,4,0,0,234,57.20087
234,158,460,2,6,0,0,234,57.20087
235,157,456,3,8,1,4,235,57.20087
236,156,453,1,5,1,3,236,57.15414
237,156,453,1,4,0,0,236,57.35524
238,156,453,2,5,0,0,236,57.35524
239,154,448,0,0,2,5,238,57.35524
240,153,443,1,5,1,5,239,57.4129
