Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,356,1014,0,0,0,0,0,0
1,356,1014,0,0,0,0,0,0
2,356,1014,0,0,0,0,0,0
3,356,1014,0,0,0,0,0,0
4,356,1014,0,0,0,0,0,0
5,356,1014,0,0,0,0,0,0
6,356,1014,0,0,0,0,0,0
7,356,1014,0,0,0,0,0,0
8,356,1014,0,0,0,0,0,0
9,356,1014,0,0,0,0,0,0
10,356,1014,0,0,0,0,0,0
11,356,1014,0,0,0,0,0,0
12,356,1014,0,0,0,0,0,0
13,356,1014,0,0,0,0,0,0
14,356,1014,0,0,0,0,0,0
15,356,1014,0,0,0,0,0,0
16,356,1014,0,0,0,0,0,0
17,356,1014,0,0,0,0,0,0
18,356,1014,2,5,0,0,0,0
19,356,1014,0,0,0,0,0,0
20,356,1014,0,0,0,0,0,0
21,356,1014,0,0,0,0,0,0
22,356,1014,1,4,0,0,0,0
23,356,1014,0,0,0,0,0,0
24,356,1014,1,5,0,0,0,0
25,356,1014,0,0,0,0,0,0
26,356,1014,0,0,0,0,0,0
27,356,1014,0,0,0,0,0,0
28,356,1014,0,0,0,0,0,0
29,356,1014,0,0,0,0,0,0
30,356,1014,0,0,0,0,0,0
31,356,1014,1,1,0,0,0,0
32,356,1014,1,1,0,0,0,0
33,356,1014,0,0,0,0,0,0
34,356,1014,1,3,0,0,0,0
35,356,1014,0,0,0,0,0,0
36,356,1014,1,3,0,0,0,0
37,356,1014,0,0,0,0,0,0
38,356,1014,1,2,0,0,0,0
39,356,1014,0,0,0,0,0,0
40,356,1014,0,0,0,0,0,0
41,356,1014,0,0,0,0,0,0
42,356,1014,1,3,0,0,0,0
43,356,1014,0,0,0,0,0,0
44,356,1014,0,0,0,0,0,0
45,356,1014,0,0,0,0,0,0
46,356,1014,1,1,0,0,0,0
47,356,1014,0,0,0,0,0,0
48,356,1014,1,3,0,0,0,0
49,356,1014,1,4,0,0,0,0
50,356,1014,0,0,0,0,0,0
51,356,1014,0,0,0,0,0,0
52,355,1011,0,0,1,3,1,0
53,355,1011,1,1,0,0,1,34.13699
54,355,1011,0,0,0,0,1,34.13699
55,355,1011,0,0,0,0,1,34.13699
56,355,1011,1,4,0,0,1,34.13699
57,355,1011,0,0,0,0,1,34.13699
58,355,1011,0,0,0,0,1,34.13699
59,355,1011,0,0,0,0,1,34.13699
60,355,1011,0,0,0,0,1,34.13699
61,355,1011,1,3,0,0,1,34.13699
62,355,1011,1,4,0,0,1,34.13699
63,355,1011,0,0,0,0,1,34.13699
64,355,1011,0,0,0,0,1,34.13699
65,355,1011,0,0,0,0,1,34.13699
66,355,1011,0,0,0,0,1,34.13699
67,355,1011,0,0,0,0,1,34.13699
68,355,1011,0,0,0,0,1,34.13699
69,355,1011,0,0,0,0,1,34.13699
70,355,1011,0,0,0,0,1,34.13699
71,355,1011,0,0,0,0,1,34.13699
72,353,1008,0,0,2,3,3,34.13699
73,353,1008,1,1,0,0,3,36.2096
74,353,1008,0,0,0,0,3,36.2096
75,353,1008,0,0,0,0,3,36.2096
76,353,1008,0,0,0,0,3,36.2096
77,353,1008,0,0,0,0,3,36.2096
78,352,1007,0,0,1,1,4,36.2096
79,352,1007,1,1,0,0,4,38.85606
80,352,1007,0,0,0,0,4,38.85606
81,352,1007,0,0,0,0,4,38.85606
82,352,1007,0,0,0,0,4,38.85606
83,351,1005,1,2,1,2,5,38.85606
84,349,1001,1,4,2,4,7,43.92976
85,349,1001,0,0,0,0,7,42.88657
86,349,1001,0,0,0,0,7,42.88657
