Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,361,1014,0,0,0,0,0,0
1,361,1014,361,1014,0,0,0,0
2,361,1014,0,0,0,0,0,0
3,361,1014,0,0,0,0,0,0
4,361,1014,0,0,0,0,0,0
5,361,1014,0,0,0,0,0,0
6,361,1014,0,0,0,0,0,0
7,361,1014,0,0,0,0,0,0
8,361,1014,0,0,0,0,0,0
9,361,1014,0,0,0,0,0,0
10,361,1014,0,0,0,0,0,0
11,361,1014,0,0,0,0,0,0
12,361,1014,0,0,0,0,0,0
13,361,1014,0,0,0,0,0,0
14,361,1014,0,0,0,0,0,0
15,361,1014,0,0,0,0,0,0
16,361,1014,0,0,0,0,0,0
17,361,1014,0,0,0,0,0,0
18,361,1014,0,0,0,0,0,0
19,361,1014,0,0,0,0,0,0
20,361,1014,0,0,0,0,0,0
21,361,1014,0,0,0,0,0,0
22,361,1014,0,0,0,0,0,0
23,361,1014,0,0,0,0,0,0
24,361,1014,0,0,0,0,0,0
25,361,1014,0,0,0,0,0,0
26,361,1014,0,0,0,0,0,0
27,361,1014,0,0,0,0,0,0
28,361,1014,0,0,0,0,0,0
29,361,1014,0,0,0,0,0,0
30,361,1014,0,0,0,0,0,0
31,361,1014,0,0,0,0,0,0
32,361,1014,0,0,0,0,0,0
33,361,1014,0,0,0,0,0,0
34,361,1014,0,0,0,0,0,0
35,361,1014,0,0,0,0,0,0
36,361,1014,0,0,0,0,0,0
37,361,1014,0,0,0,0,0,0
38,361,1014,0,0,0,0,0,0
39,361,1014,0,0,0,0,0,0
40,361,1014,0,0,0,0,0,0
41,361,1014,0,0,0,0,0,0
42,361,1014,0,0,0,0,0,0
43,361,1014,0,0,0,0,0,0
44,361,1014,0,0,0,0,0,0
45,361,1014,0,0,0,0,0,0
46,361,1014,0,0,0,0,0,0
47,361,1014,0,0,0,0,0,0
48,361,1014,0,0,0,0,0,0
49,361,1014,0,0,0,0,0,0
50,361,1014,0,0,0,0,0,0
51,361,1014,0,0,0,0,0,0
52,361,1014,0,0,0,0,0,0
53,361,1014,0,0,0,0,0,0
54,361,1014,0,0,0,0,0,0
55,361,1014,0,0,0,0,0,0
56,361,1014,0,0,0,0,0,0
57,361,1014,0,0,0,0,0,0
58,361,1014,0,0,0,0,0,0
59,361,1014,0,0,0,0,0,0
60,361,1014,0,0,0,0,0,0
61,361,1014,0,0,0,0,0,0
62,361,1014,0,0,0,0,0,0
63,361,1014,0,0,0,0,0,0
64,361,1014,0,0,0,0,0,0
65,361,1014,0,0,0,0,0,0
66,361,1014,0,0,0,0,0,0
67,361,1014,0,0,0,0,0,0
68,361,1014,0,0,0,0,0,0
69,340,948,0,0,21,66,32,0
70,328,907,0,0,12,41,47,68.00275
71,315,872,0,0,13,35,61,68.31065
72,309,854,0,0,6,18,69,68.79948
73,301,832,0,0,8,22,79,69.06303
74,296,818,0,0,5,14,84,69.44234
75,288,796,0,0,8,22,94,69.72136
76,280,772,0,0,8,24,105,70.17646
77,275,759,0,0,5,13,111,70.66245
78,270,746,0,0,5,13,117,70.98386
79,267,736,0,0,3,10,121,71.33867
80,264,728,0,0,3,8,125,71.55172
81,261,719,0,0,3,9,128,71.76939
82,261,719,0,0,0,0,128,72.00935
83,254,702,0,0,7,17,136,72.00935
84,254,702,0,0,0,0,136,72.66193
85,247,683,0,0,7,19,145,72.66193
86,243,672,0,0,4,11,150,73.37429
87,238,658,0,0,5,14,157,73.77196
88,233,648,0,0,5,10,162,74.26204
89,229,638,0,0,4,10,167,74.75935
90,229,638,0,0,0,0,167,75.16365
91,219,609,0,0,10,29,180,75.16365
92,215,599,0,0,4,10,185,76.21261
93,208,576,0,0,7,23,194,76.62594
94,204,561,0,0,4,15,198,77.33033
95,198,545,0,0,6,16,204,77.73161
96,196,539,0,0,2,6,206,78.33125
97,195,534,0,0,1,5,208,78.53165
98,194,532,0,0,1,2,209,78.6404
99,190,521,0,0,4,11,213,78.74879
100,183,499,0,0,7,22,221,79.19437
101,181,493,0,0,2,6,223,79.96794
102,177,481,0,0,4,12,227,80.18914
103,175,477,0,0,2,4,229,80.64768
104,172,466,0,0,3,11,233,80.87311
105,169,459,0,0,3,7,237,81.22405
106,168,454,0,0,1,5,239,81.58642
107,168,454,0,0,0,0,239,81.70995
108,167,449,0,0,1,5,240,81.70995
109,166,448,0,0,1,1,241,81.83703
110,161,435,0,0,5,13,246,81.96892
111,157,430,0,0,4,5,251,82.64584
112,157,430,0,0,0,0,251,83.18085
113,155,424,0,0,2,6,253,83.18085
114,152,417,0,0,3,7,256,83.45855
115,151,416,0,0,1,1,257,83.88197
116,150,415,0,0,1,1,258,84.0292
117,148,410,0,0,2,5,261,84.1769
118,147,405,0,0,1,5,262,84.47573
119,146,401,0,0,1,4,263,84.63143
120,143,396,0,0,3,5,266,84.78634
121,142,392,0,0,1,4,268,85.25816
122,141,387,0,0,1,5,269,85.41517
123,138,375,0,0,3,12,272,85.57687
124,138,375,0,0,0,0,272,86.066
125,138,375,0,0,0,0,272,86.066
126,138,375,0,0,0,0,272,86.066
127,137,373,0,0,1,2,273,86.066
128,134,366,0,0,3,7,278,86.24445
129,134,366,0,0,0,0,278,86.78522
130,131,358,0,0,3,8,282,86.78522
131,131,358,0,0,0,0,282,87.34134
132,130,355,0,0,1,3,283,87.34134
133,128,349,0,0,2,6,285,87.53111
134,126,343,0,0,2,6,288,87.91455
135,124,338,0,0,2,5,291,88.30136
136,122,333,0,0,2,5,293,88.68731
137,119,322,0,0,3,11,298,89.0742
138,119,322,0,0,0,0,298,89.65952
139,116,311,0,0,3,11,301,89.65952
140,114,304,0,0,2,7,303,90.25904
141,114,304,0,0,0,0,303,90.65331
142,112,300,0,0,2,4,305,90.65331
143,110,295,0,0,2,5,308,91.0567
144,109,292,0,0,1,3,309,91.46197
145,109,292,0,0,0,0,309,91.66412
146,108,290,0,0,1,2,311,91.66412
147,105,283,0,0,3,7,315,91.87196
148,104,280,0,0,1,3,316,92.50598
149,102,272,0,0,2,8,319,92.71726
150,102,272,0,0,0,0,319,93.14303
151,100,267,0,0,2,5,321,93.14303
152,98,261,0,0,2,6,324,93.57755
153,96,255,0,0,2,6,326,94.01287
154,94,252,0,0,2,3,328,94.45142
155,92,243,0,0,2,9,330,94.88808
156,91,240,0,0,1,3,331,95.32594
157,89,236,0,0,2,4,333,95.54885
158,89,236,0,0,0,0,333,95.99236
159,88,235,0,0,1,1,334,95.99236
160,86,230,0,0,2,5,336,96.2187
161,84,227,0,0,2,3,338,96.67663
162,83,226,0,0,1,1,339,97.13174
163,80,219,0,0,3,7,343,97.36181
164,78,217,0,0,2,2,345,98.05146
165,76,213,0,0,2,4,347,98.50979
166,76,213,0,0,0,0,347,98.96557
167,74,206,0,0,2,7,350,98.96557
168,69,193,0,0,5,13,356,99.43621
169,66,185,0,0,3,8,360,100.5975
170,64,182,0,0,2,3,362,101.2833
171,63,181,0,0,1,1,363,101.7407
172,63,181,0,0,0,0,363,101.971
173,60,175,0,0,3,6,367,101.971
174,55,159,0,0,5,16,373,102.6708
175,54,158,0,0,1,1,374,103.8183
176,52,148,0,0,2,10,377,104.0443
177,52,148,0,0,0,0,377,104.5073
178,49,142,0,0,3,6,381,104.5073
179,47,137,0,0,2,5,384,105.2044
180,46,136,0,0,1,1,385,105.6704
181,44,131,0,0,2,5,387,105.903
182,42,123,0,0,2,8,389,106.3723
183,41,121,0,0,1,2,391,106.8398
184,40,119,0,0,1,2,392,107.0771
185,40,119,0,0,0,0,392,107.3121
186,39,114,0,0,1,5,393,107.3121
187,37,109,0,0,2,5,395,107.5524
188,35,101,0,0,2,8,397,108.0396
189,34,100,0,0,1,1,398,108.5259
190,33,98,0,0,1,2,400,108.7684
191,32,93,0,0,1,5,401,109.0107
192,32,93,0,0,0,0,401,109.256
193,32,93,0,0,0,0,401,109.256
194,30,89,0,0,2,4,404,109.256
195,30,89,0,0,0,0,404,109.7589
196,27,78,0,0,3,11,408,109.7589
197,25,69,0,0,2,9,411,110.52
198,25,69,0,0,0,0,411,111.028
199,24,66,0,0,1,3,412,111.028
200,23,63,0,0,1,3,413,111.2854
201,21,59,0,0,2,4,416,111.5457
202,21,59,0,0,0,0,416,112.064
203,21,59,0,0,0,0,416,112.064
204,18,49,0,0,3,10,420,112.064
205,17,48,0,0,1,1,421,112.8635
206,16,46,0,0,1,2,423,113.1279
207,14,39,0,0,2,7,425,113.3965
208,14,39,0,0,0,0,425,113.9311
209,12,32,0,0,2,7,427,113.9311
210,11,30,0,0,1,2,428,114.4696
211,11,30,0,0,0,0,428,114.7406
212,10,27,0,0,1,3,429,114.7406
213,9,25,0,0,1,2,431,115.0158
214,6,16,0,0,3,9,434,115.2904
215,4,12,0,0,2,4,436,116.118
216,3,10,0,0,1,2,437,116.6687
217,3,10,0,0,0,0,437,116.9449
218,2,7,0,0,1,3,438,116.9449
219,1,3,0,0,1,4,440,117.2221
220,0,0,0,0,1,3,441,117.5003
