Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,1,0,1,0, 32.1421,32.1421,2,0.03571429
1,0,0,1,0, 32.1421,32.1421,2,0.03571429
2,0,0,1,0, 32.1421,32.1421,2,0.03571429
3,0,0,1,0, 32.1421,32.1421,2,0.03571429
4,0,0,1,0, 32.1421,32.1421,2,0.03571429
5,0,0,1,0, 32.1421,32.1421,2,0.03571429
6,0,0,1,0, 32.1421,32.1421,2,0.03571429
7,0,0,1,0, 32.1421,32.1421,2,0.03571429
8,0,0,1,0, 32.1421,32.1421,2,0.03571429
9,0,0,1,0, 32.1421,32.1421,2,0.03571429
10,0,0,1,0, 32.1421,32.1421,2,0.03571429
11,0,0,1,0, 32.1421,32.1421,2,0.03571429
12,0,0,1,0, 32.1421,32.1421,2,0.03571429
13,0,0,1,0, 32.1421,32.1421,2,0.03571429
14,0,0,1,0, 32.1421,32.1421,2,0.03571429
15,0,0,1,0, 32.1421,32.1421,2,0.03571429
16,0,0,1,0, 32.1421,32.1421,2,0.03571429
17,0,0,1,0, 32.1421,32.1421,2,0.03571429
18,0,0,1,0, 32.1421,32.1421,2,0.03571429
19,0,0,1,0, 32.1421,32.1421,2,0.03571429
20,0,0,1,0, 32.1421,32.1421,2,0.03571429
21,0,0,1,0, 32.1421,32.1421,2,0.03571429
22,0,0,1,0, 32.1421,32.1421,2,0.03571429
23,0,0,1,0, 32.1421,32.1421,2,0.03571429
24,0,0,1,0, 32.1421,32.1421,2,0.03571429
25,0,0,1,0, 32.1421,32.1421,2,0.03571429
26,0,0,1,0, 32.1421,32.1421,2,0.03571429
27,0,0,1,0, 32.1421,32.1421,2,0.03571429
28,0,0,1,0, 32.1421,32.1421,2,0.03571429
29,0,0,1,0, 32.1421,32.1421,2,0.03571429
30,0,0,1,0, 32.1421,32.1421,2,0.03571429
31,0,0,1,0, 32.1421,32.1421,2,0.03571429
32,0,0,1,0, 32.1421,32.1421,2,0.03571429
33,0,0,1,0, 32.1421,32.1421,2,0.03571429
34,0,0,1,0, 32.1421,32.1421,2,0.03571429
35,0,0,1,0, 32.1421,32.1421,2,0.03571429
36,0,0,1,0, 32.1421,32.1421,2,0.03571429
37,0,0,1,0, 32.1421,32.1421,2,0.03571429
38,0,0,1,0, 32.1421,32.1421,2,0.03571429
39,0,0,1,0, 32.1421,32.1421,2,0.03571429
40,0,0,1,0, 32.1421,32.1421,2,0.03571429
41,0,0,1,0, 32.1421,32.1421,2,0.03571429
42,0,0,1,0, 32.1421,32.1421,2,0.03571429
43,0,0,1,0, 32.1421,32.1421,2,0.03571429
44,0,0,1,0, 32.1421,32.1421,2,0.03571429
45,0,0,1,0, 32.1421,32.1421,2,0.03571429
46,0,0,1,0, 32.1421,32.1421,2,0.03571429
47,0,0,1,0, 32.1421,32.1421,2,0.03571429
48,0,0,1,0, 32.1421,32.1421,2,0.03571429
49,0,0,1,0, 32.1421,32.1421,2,0.03571429
50,0,0,1,0, 32.1421,32.1421,2,0.03571429
51,0,0,1,0, 32.1421,32.1421,2,0.03571429
52,0,0,1,0, 32.1421,32.1421,2,0.03571429
53,0,0,1,0, 32.1421,32.1421,2,0.03571429
54,0,0,1,0, 32.1421,32.1421,2,0.03571429
55,0,0,1,0, 32.1421,32.1421,2,0.03571429
56,0,0,1,0, 32.1421,32.1421,2,0.03571429
57,0,0,1,0, 32.1421,32.1421,2,0.03571429
58,0,0,1,0, 32.1421,32.1421,2,0.03571429
59,0,0,1,0, 32.1421,32.1421,2,0.03571429
60,0,0,1,0, 32.1421,32.1421,2,0.03571429
61,0,0,1,0, 32.1421,32.1421,2,0.03571429
62,0,0,1,0, 32.1421,32.1421,2,0.03571429
63,0,0,1,0, 32.1421,32.1421,2,0.03571429
64,0,0,1,0, 32.1421,32.1421,2,0.03571429
65,0,0,1,0, 32.1421,32.1421,2,0.03571429
66,0,0,1,0, 32.1421,32.1421,2,0.03571429
67,0,0,1,0, 32.1421,32.1421,2,0.03571429
68,0,0,1,0, 32.1421,32.1421,2,0.03571429
69,0,0,1,0, 32.1421,32.1421,2,0.03571429
70,0,0,1,0, 32.1421,32.1421,2,0.03571429
71,0,0,1,0, 32.1421,32.1421,2,0.03571429
72,0,0,1,0, 32.1421,32.1421,2,0.03571429
73,0,0,1,0, 32.1421,32.1421,2,0.03571429
74,0,0,1,0, 32.1421,32.1421,2,0.03571429
75,0,0,1,0, 32.1421,32.1421,2,0.03571429
76,0,0,1,0, 32.1421,32.1421,2,0.03571429
77,0,0,1,0, 32.1421,32.1421,2,0.03571429
78,0,0,1,0, 32.1421,32.1421,2,0.03571429
79,0,0,1,0, 32.1421,32.1421,2,0.03571429
80,0,0,1,0, 32.1421,32.1421,2,0.03571429
81,0,0,1,0, 32.1421,32.1421,2,0.03571429
82,0,0,1,0, 32.1421,32.1421,2,0.03571429
83,0,0,1,0, 32.1421,32.1421,2,0.03571429
84,0,0,1,0, 32.1421,32.1421,2,0.03571429
85,0,0,1,0, 32.1421,32.1421,2,0.03571429
86,0,0,1,0, 32.1421,32.1421,2,0.03571429
87,0,0,1,0, 32.1421,32.1421,2,0.03571429
88,0,0,1,0, 32.1421,32.1421,2,0.03571429
89,0,0,1,0, 32.1421,32.1421,2,0.03571429
90,0,0,1,0, 32.1421,32.1421,2,0.03571429
91,0,0,1,0, 32.1421,32.1421,2,0.03571429
92,0,0,1,0, 32.1421,32.1421,2,0.03571429
93,0,0,1,0, 32.1421,32.1421,2,0.03571429
94,0,0,1,0, 32.1421,32.1421,2,0.03571429
95,0,0,1,0, 32.1421,32.1421,2,0.03571429
96,0,0,1,0, 32.1421,32.1421,2,0.03571429
97,0,0,1,0, 32.1421,32.1421,2,0.03571429
98,0,0,1,0, 32.1421,32.1421,2,0.03571429
99,0,0,1,0, 32.1421,32.1421,2,0.03571429
100,0,0,1,0, 32.1421,32.1421,2,0.03571429
101,0,0,1,0, 32.1421,32.1421,2,0.03571429
102,0,0,1,0, 32.1421,32.1421,2,0.03571429
103,0,0,1,0, 32.1421,32.1421,2,0.03571429
104,0,0,1,0, 32.1421,32.1421,2,0.03571429
105,0,0,1,0, 32.1421,32.1421,2,0.03571429
106,0,0,1,0, 32.1421,32.1421,2,0.03571429
107,0,0,1,0, 32.1421,32.1421,2,0.03571429
108,0,0,1,0, 32.1421,32.1421,2,0.03571429
109,0,0,1,0, 32.1421,32.1421,2,0.03571429
110,0,0,1,0, 32.1421,32.1421,2,0.03571429
111,0,0,1,0, 32.1421,32.1421,2,0.03571429
112,0,1,1,1, 32.1421,32.1421,3,0.03333334
