Time(s),People left, People started moving,People reached car
0,10981,0,0
1,10981,0,0
2,10981,4,0
3,10981,8,0
4,10981,5,0
5,10981,5,0
6,10981,0,0
7,10978,4,3
8,10978,0,0
9,10978,0,0
10,10978,4,0
11,10978,2,0
12,10978,2,0
13,10978,1,0
14,10978,5,0
15,10978,3,0
16,10978,7,0
17,10978,0,0
18,10978,0,0
19,10978,0,0
20,10978,3,0
21,10978,0,0
22,10978,9,0
23,10978,14,0
24,10978,1,0
25,10978,0,0
26,10978,5,0
27,10978,14,0
28,10978,5,0
29,10978,6,0
30,10978,4,0
31,10978,0,0
32,10978,8,0
33,10978,0,0
34,10978,0,0
35,10976,0,2
36,10976,3,0
37,10976,0,0
38,10976,5,0
39,10976,2,0
40,10976,0,0
41,10976,3,0
42,10972,1,4
43,10967,1,5
44,10967,8,0
45,10963,5,4
46,10963,6,0
47,10963,0,0
48,10963,5,0
49,10963,0,0
50,10955,3,8
51,10955,0,0
52,10952,2,3
53,10952,10,0
54,10952,0,0
55,10952,2,0
56,10952,0,0
57,10949,0,3
58,10949,0,0
59,10949,0,0
60,10949,0,0
61,10949,5,0
62,10940,9,9
63,10935,0,5
64,10935,4,0
65,10930,2,5
66,10930,0,0
67,10930,0,0
68,10930,1,0
69,10930,0,0
70,10930,5,0
71,10928,5,2
72,10928,10,0
73,10926,2,2
74,10926,0,0
75,10926,3,0
76,10926,3,0
77,10925,0,1
78,10925,7,0
79,10922,0,3
80,10922,3,0
81,10922,4,0
82,10922,0,0
83,10920,8,2
84,10919,2,1
85,10919,3,0
86,10919,0,0
87,10919,5,0
88,10919,7,0
89,10919,0,0
90,10919,0,0
91,10915,0,4
92,10915,9,0
93,10915,3,0
94,10915,7,0
95,10914,2,1
96,10914,7,0
97,10914,0,0
98,10914,1,0
99,10914,9,0
100,10912,8,2
101,10912,3,0
102,10911,9,1
103,10908,0,3
104,10903,2,5
105,10896,0,7
106,10896,0,0
107,10896,0,0
108,10893,4,3
109,10891,2,2
110,10889,6,2
111,10884,4,5
112,10884,0,0
113,10882,13,2
114,10882,5,0
115,10877,0,5
116,10869,0,8
117,10869,3,0
118,10869,16,0
119,10859,4,10
120,10850,0,9
121,10850,4,0
122,10850,0,0
123,10849,7,1
124,10848,6,1
125,10848,5,0
126,10843,4,5
127,10842,0,1
128,10842,7,0
129,10842,2,0
130,10839,0,3
131,10836,0,3
132,10835,3,1
133,10833,0,2
134,10825,3,8
135,10825,2,0
136,10819,0,6
137,10814,7,5
138,10814,3,0
139,10809,5,5
140,10804,19,5
141,10802,9,2
142,10794,2,8
143,10794,0,0
144,10794,7,0
145,10794,4,0
146,10791,3,3
147,10791,2,0
148,10786,3,5
149,10783,4,3
150,10783,0,0
151,10778,2,5
152,10778,4,0
153,10777,6,1
154,10775,0,2
155,10775,5,0
156,10775,1,0
157,10775,1,0
158,10773,1,2
159,10773,1,0
160,10771,0,2
161,10770,7,1
162,10770,11,0
163,10767,0,3
164,10767,0,0
165,10767,4,0
166,10766,3,1
167,10766,0,0
168,10766,0,0
169,10761,0,5
170,10757,0,4
171,10752,4,5
172,10750,6,2
173,10747,2,3
174,10743,0,4
175,10738,0,5
176,10738,8,0
177,10738,8,0
178,10732,0,6
179,10732,7,0
180,10732,0,0
181,10731,1,1
182,10731,15,0
183,10730,0,1
184,10730,5,0
185,10725,2,5
186,10720,1,5
187,10719,4,1
188,10719,9,0
189,10719,7,0
190,10719,0,0
191,10719,2,0
192,10719,6,0
193,10718,2,1
194,10711,0,7
195,10708,5,3
196,10708,5,0
197,10705,2,3
198,10705,3,0
199,10699,3,6
200,10699,3,0
201,10694,5,5
202,10684,4,10
203,10680,5,4
204,10674,3,6
205,10671,6,3
206,10664,14,7
207,10664,0,0
208,10662,7,2
209,10661,2,1
210,10655,0,6
211,10655,0,0
212,10651,0,4
213,10649,0,2
214,10649,7,0
215,10646,6,3
216,10644,9,2
217,10644,0,0
218,10638,5,6
219,10632,5,6
220,10632,6,0
221,10629,10,3
222,10626,0,3
223,10619,0,7
224,10617,3,2
225,10617,0,0
226,10617,4,0
227,10608,0,9
228,10608,3,0
229,10608,1,0
230,10602,0,6
231,10602,0,0
232,10601,3,1
233,10598,3,3
234,10588,0,10
235,10588,3,0
236,10583,1,5
237,10574,8,9
238,10566,2,8
239,10562,4,4
240,10562,4,0
241,10560,2,2
242,10554,4,6
243,10554,6,0
244,10554,0,0
245,10551,2,3
246,10551,4,0
247,10550,4,1
248,10550,1,0
249,10548,0,2
250,10541,4,7
251,10538,0,3
252,10529,2,9
253,10525,1,4
254,10525,5,0
255,10503,0,22
256,10498,0,5
257,10490,4,8
258,10490,3,0
259,10486,1,4
260,10481,0,5
261,10479,0,2
262,10478,0,1
263,10478,0,0
264,10468,5,10
265,10463,1,5
266,10459,1,4
267,10455,1,4
268,10455,8,0
269,10455,5,0
270,10453,4,2
271,10453,9,0
272,10451,7,2
273,10451,0,0
274,10438,5,13
275,10435,1,3
276,10431,1,4
277,10427,4,4
278,10419,0,8
279,10419,0,0
280,10415,0,4
281,10406,3,9
282,10392,0,14
283,10392,2,0
284,10392,0,0
285,10390,5,2
286,10389,1,1
287,10389,11,0
288,10389,1,0
289,10389,5,0
290,10387,0,2
291,10387,3,0
292,10381,10,6
293,10381,6,0
294,10373,4,8
295,10373,9,0
296,10373,0,0
297,10373,2,0
298,10373,8,0
299,10373,4,0
300,10370,4,3
301,10370,8,0
302,10370,0,0
303,10366,5,4
304,10366,11,0
305,10358,4,8
306,10354,3,4
307,10351,0,3
308,10344,3,7
309,10339,9,5
310,10336,2,3
311,10336,0,0
312,10330,5,6
313,10324,0,6
314,10323,5,1
315,10323,4,0
316,10319,7,4
317,10302,4,17
318,10298,4,4
319,10290,0,8
320,10290,0,0
321,10290,0,0
322,10290,3,0
323,10289,0,1
324,10282,1,7
325,10268,3,14
326,10268,0,0
327,10266,7,2
328,10263,3,3
329,10254,4,9
330,10253,1,1
331,10252,0,1
332,10247,8,5
333,10247,11,0
334,10245,5,2
335,10237,3,8
336,10235,0,2
337,10235,0,0
338,10235,5,0
339,10234,5,1
340,10234,15,0
341,10232,0,2
342,10218,3,14
343,10214,7,4
344,10196,8,18
