Time(s),People left, People started moving,People reached car
420,10981,0,0
421,10981,7,0
422,10981,2,0
423,10981,1,0
424,10981,8,0
425,10981,1,0
426,10981,9,0
427,10981,10,0
428,10981,12,0
429,10981,6,0
430,10981,3,0
431,10981,7,0
432,10981,3,0
433,10981,4,0
434,10981,5,0
435,10981,5,0
436,10981,5,0
437,10981,7,0
438,10981,2,0
439,10981,8,0
440,10981,16,0
441,10981,0,0
442,10981,0,0
443,10981,8,0
444,10980,5,1
445,10978,6,2
446,10978,3,0
447,10978,5,0
448,10978,2,0
449,10978,5,0
450,10975,5,3
451,10975,6,0
452,10970,3,5
453,10969,7,1
454,10967,6,2
455,10967,9,0
456,10967,0,0
457,10967,4,0
458,10967,9,0
459,10967,1,0
460,10967,16,0
461,10967,5,0
462,10967,3,0
463,10964,2,3
464,10961,3,3
465,10961,9,0
466,10961,2,0
467,10961,0,0
468,10961,4,0
469,10961,9,0
470,10960,9,1
471,10956,1,4
472,10952,8,4
473,10952,9,0
474,10952,5,0
475,10950,9,2
476,10945,0,5
477,10945,2,0
478,10945,5,0
479,10945,4,0
480,10942,0,3
481,10942,15,0
482,10942,14,0
483,10940,2,2
484,10940,5,0
485,10937,11,3
486,10937,8,0
487,10933,12,4
488,10933,6,0
489,10930,9,3
490,10930,5,0
491,10923,0,7
492,10923,7,0
493,10923,4,0
494,10923,7,0
495,10919,7,4
496,10914,3,5
497,10914,3,0
498,10914,5,0
499,10909,2,5
500,10907,10,2
501,10907,3,0
502,10895,4,12
503,10884,11,11
504,10884,0,0
505,10882,7,2
506,10882,10,0
507,10882,4,0
508,10879,1,3
509,10877,3,2
510,10872,10,5
511,10872,1,0
512,10866,8,6
513,10864,5,2
514,10864,0,0
515,10862,0,2
516,10860,15,2
517,10860,0,0
518,10858,3,2
519,10858,7,0
520,10852,4,6
521,10842,4,10
522,10842,6,0
523,10839,7,3
524,10834,3,5
525,10832,8,2
526,10831,0,1
527,10828,12,3
528,10825,1,3
529,10825,11,0
530,10825,14,0
531,10822,3,3
532,10822,7,0
533,10813,3,9
534,10811,3,2
535,10803,12,8
536,10787,3,16
537,10781,0,6
538,10779,4,2
539,10778,1,1
540,10777,1,1
541,10762,5,15
542,10762,18,0
543,10758,3,4
544,10758,5,0
545,10753,3,5
546,10753,4,0
547,10752,7,1
548,10746,5,6
549,10739,2,7
550,10739,4,0
551,10736,3,3
552,10736,2,0
553,10733,2,3
554,10730,10,3
555,10730,6,0
556,10730,2,0
557,10723,3,7
558,10716,3,7
559,10716,0,0
560,10714,0,2
561,10709,0,5
562,10705,16,4
563,10700,6,5
564,10697,10,3
565,10697,10,0
566,10691,4,6
567,10690,5,1
568,10690,9,0
569,10686,5,4
570,10684,10,2
571,10683,9,1
572,10676,3,7
573,10670,5,6
574,10663,5,7
575,10654,12,9
576,10653,10,1
577,10643,4,10
578,10641,14,2
579,10637,11,4
580,10634,7,3
581,10628,4,6
582,10624,6,4
583,10618,4,6
584,10615,9,3
585,10615,2,0
586,10615,1,0
587,10613,4,2
588,10611,11,2
589,10607,0,4
590,10595,10,12
591,10591,9,4
592,10583,9,8
593,10581,11,2
594,10579,5,2
595,10572,15,7
596,10572,6,0
597,10560,2,12
598,10558,6,2
599,10548,6,10
600,10542,9,6
601,10533,8,9
602,10530,14,3
603,10530,12,0
604,10530,2,0
605,10524,7,6
606,10517,5,7
607,10514,0,3
608,10511,5,3
609,10511,6,0
610,10506,0,5
611,10501,14,5
612,10501,7,0
613,10496,4,5
614,10493,2,3
615,10484,4,9
616,10480,13,4
617,10479,0,1
618,10466,4,13
619,10459,4,7
620,10456,4,3
621,10456,12,0
622,10455,0,1
623,10450,5,5
624,10445,16,5
625,10437,13,8
626,10434,0,3
627,10428,8,6
628,10421,1,7
629,10416,5,5
630,10415,6,1
631,10410,7,5
632,10406,8,4
633,10395,7,11
634,10395,14,0
635,10385,1,10
636,10377,8,8
637,10377,2,0
638,10368,2,9
639,10368,2,0
640,10364,7,4
641,10364,1,0
642,10358,3,6
643,10349,10,9
644,10341,10,8
645,10333,3,8
646,10330,0,3
