Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Rox_Goal_E, Goal: Rox_Goal_R, Goal: Rox_Goal_F
420,0,0,0,0, 0,35996.4,0,0,0
421,0,0,0,0, 0,35996.4,0,0,0
422,0,0,0,0, 0,35996.4,0,0,0
423,0,0,0,0, 0,35996.4,0,0,0
424,0,0,0,0, 0,35996.4,0,0,0
425,0,0,0,0, 0,35996.4,0,0,0
426,0,0,0,0, 0,35996.4,0,0,0
427,0,0,0,0, 0,35996.4,0,0,0
428,0,0,0,0, 0,35996.4,0,0,0
429,0,0,0,0, 0,35996.4,0,0,0
430,0,0,0,0, 0,35996.4,0,0,0
431,0,0,0,0, 0,35996.4,0,0,0
432,0,0,0,0, 0,35996.4,0,0,0
433,0,0,0,0, 0,35996.4,0,0,0
434,0,0,0,0, 0,35996.4,0,0,0
435,0,0,0,0, 0,35996.4,0,0,0
436,0,0,0,0, 0,35996.4,0,0,0
437,0,0,0,0, 0,35996.4,0,0,0
438,0,0,0,0, 0,35996.4,0,0,0
439,0,0,0,0, 0,35996.4,0,0,0
440,0,0,0,0, 0,35996.4,0,0,0
441,0,0,0,0, 0,35996.4,0,0,0
442,0,0,0,0, 0,35996.4,0,0,0
443,0,0,0,0, 0,35996.4,0,0,0
444,1,0,1,0, 29.29437,29.29437,0,0,0
445,1,0,2,0, 32.73225,29.29437,0,0,0
446,0,0,2,0, 32.73225,29.29437,0,0,0
447,0,0,2,0, 32.73225,29.29437,0,0,0
448,0,0,2,0, 32.73225,29.29437,0,0,0
449,0,0,2,0, 32.73225,29.29437,0,0,0
450,1,0,3,0, 42.20649,36.17012,0,0,0
451,0,0,3,0, 42.20649,36.17012,0,0,0
452,1,0,4,0, 31.90487,1,0,0,0
453,1,0,5,0, 37.44241,1,0,0,0
454,1,0,6,0, 36.67986,1,0,0,0
455,0,0,6,0, 36.67986,1,0,0,0
456,0,0,6,0, 36.67986,1,0,0,0
457,0,0,6,0, 36.67986,1,0,0,0
458,0,0,6,0, 36.67986,1,0,0,0
459,0,0,6,0, 38.37574,1,0,0,0
460,0,0,6,0, 38.37574,1,0,0,0
461,0,0,6,0, 33.06456,1,0,0,0
462,0,0,6,0, 44.05317,1,0,0,0
463,2,0,8,0, 43.28923,1,0,0,0
464,2,0,10,0, 38.00308,1,0,0,0
465,0,0,10,0, 38.00308,1,0,0,0
466,0,0,10,0, 38.00308,1,0,0,0
467,0,0,10,0, 42.08625,1,0,0,0
468,0,0,10,0, 42.08625,1,0,0,0
469,0,0,10,0, 42.08625,1,0,0,0
470,1,0,11,0, 41.88156,1,0,0,0
471,2,0,13,0, 33.78261,1,0,0,0
472,2,0,15,0, 31.98785,1,0,0,0
473,0,0,15,0, 31.98785,1,0,0,0
474,0,0,15,0, 33.63805,1,0,0,0
475,2,0,17,0, 36.17957,1,0,0,0
476,1,0,18,0, 37.4334,1,0,0,0
477,0,0,18,0, 37.4334,1,0,0,0
478,0,0,18,0, 37.95348,1,0,0,0
479,0,0,18,0, 37.45247,1,0,0,0
480,2,0,20,0, 41.2932,1,0,0,0
481,0,0,20,0, 41.2932,1,0,0,0
482,0,0,20,0, 41.2957,1,0,0,0
483,2,0,22,0, 41.28834,1,0,0,0
484,0,0,22,0, 41.28834,1,0,0,0
485,2,0,24,0, 44.94981,1,0,0,0
486,0,0,24,0, 45.6076,1,0,0,0
487,1,0,25,0, 45.41987,1,0,0,0
488,0,0,25,0, 45.36437,1,0,0,0
489,2,0,27,0, 45.02631,1,0,0,0
490,0,0,27,0, 45.02631,1,0,0,0
491,2,0,29,0, 44.31129,1,0,0,0
492,0,0,29,0, 44.31129,1,0,0,0
493,0,0,29,0, 42.62927,1,0,0,0
494,0,0,29,0, 42.28025,1,0,0,0
495,1,0,30,0, 40.40388,1,0,0,0
496,2,0,32,0, 40.52747,1,0,0,0
497,0,0,32,0, 40.38983,1,0,0,0
498,0,1,32,1, 40.36095,1,0,1,0
499,2,0,33,0, 37.10257,1,0,0,0
500,1,0,34,0, 37.39822,1,0,0,0
501,0,0,34,0, 36.43311,1,0,0,0
502,4,0,38,0, 36.71385,1,0,0,0
503,4,0,42,0, 37.60202,1,0,0,0
504,0,0,42,0, 38.63942,1,0,0,0
505,1,0,43,0, 38.8536,1,0,0,0
506,0,0,43,0, 39.05176,1,0,0,0
507,0,0,43,0, 39.05176,1,0,0,0
508,1,0,44,0, 38.79473,1,0,0,0
509,2,0,46,0, 36.80168,1,0,0,0
510,2,0,48,0, 36.89109,1,0,0,0
511,0,0,48,0, 36.63764,1,0,0,0
512,3,0,51,0, 37.91293,1,0,0,0
513,2,0,53,0, 37.30267,1,0,0,0
514,0,0,53,0, 37.38026,1,0,0,0
515,1,0,54,0, 37.00862,1,0,0,0
516,2,0,56,0, 35.83683,1,0,0,0
517,0,0,56,0, 35.83683,1,0,0,0
518,1,0,57,0, 33.86646,1,0,0,0
519,0,0,57,0, 33.56961,1,0,0,0
520,3,0,60,0, 33.93149,1,0,0,0
521,4,0,64,0, 34.24688,1,0,0,0
522,0,0,64,0, 35.7802,1,0,0,0
523,2,0,66,0, 36.83526,1,0,0,0
524,3,0,69,0, 36.71531,1,0,0,0
525,1,0,70,0, 37.04501,1,0,0,0
526,1,2,71,2, 35.43462,1,0,2,0
527,1,0,70,0, 36.3199,1,0,0,0
528,2,0,72,0, 35.85068,1,0,0,0
529,0,0,72,0, 35.11009,1,0,0,0
530,0,0,72,0, 35.53856,1,0,0,0
531,1,0,73,0, 35.83054,1,0,0,0
532,0,0,73,0, 36.06354,1,0,0,0
533,4,0,77,0, 35.3129,1,0,0,0
534,2,0,79,0, 35.04335,1,0,0,0
535,2,0,81,0, 35.93624,1,0,0,0
536,7,0,88,0, 36.16594,1,0,0,0
537,2,0,90,0, 34.93359,1,0,0,0
538,2,0,92,0, 35.40564,1,0,0,0
539,1,0,93,0, 34.81799,1,0,0,0
540,1,0,94,0, 34.50809,1,0,0,0
541,5,0,99,0, 35.50555,1,0,0,0
542,0,0,99,0, 35.31319,1,0,0,0
543,1,0,100,0, 36.27691,1,0,0,0
544,0,0,100,0, 36.18503,1,0,0,0
