BFC class number,BFC class name,Fuel_type,Fuel_sub_type,
110,"Tall, closed forest",Forest,Wet,
120,Closed forest,Forest,Wet,
210,Tall open forest,Forest,Wet,
220,Open forest,Forest,Dry,
230,Low open forest,Forest,Dry,
310,Broadleaf plantation,Forest,Dry,?
321,Radiata pine,Pine,None,
322,Maritime pine,Pine,None,
323,Southern pine,Pine,None,
324,Other conifer,Pine,None,
330,Other plantation,Pine,None,
411,Tall woodland with grassy understory,Savanna,WoodyGrassland,
421,Woodland with shrubby understory,Savanna,WoodyGrassland,
422,Woodland with spinifex understory,Savanna,WoodyGrassland,
423,Woodland with grassy understory,Savanna,WoodyGrassland,
424,Woodland with sparse understory,Savanna,WoodyHorticulture,
431,Low woodland with shrubby understory,Savanna,,
432,Low woodland with spinifex understory,Savanna,,
433,Low woodland with grassy understory,Savanna,,
434,Low woodland with sparse understory,Savanna,,
510,Tall shrubland,Heathland,,
520,Shrubland,Heathland,,
531,Open shrubland with spinifex understory,Spinifex,SpinifexWoodland,
532,Open shrubland with grassy understory,Heathland,,
533,Open shrubland with sparse understory,Heathland,,
610,Sedgeland,Grassland,,
620,Hummock grassland,Grassland,,
631,Grassland,Grassland,,
632,Open grassland,Grassland,,
633,Sparse grassland,Grassland,,
640,Croplands,Grassland,,
700,Horticulture,Non-fuel,,
800,Wetlands,Grassland,LowWetland,
910,Water,Non-fuel,,
920,Wildland urban interface 1,Savanna,Urban,
930,Wildland urban interface 2,Savanna,Urban,
940,Wildland urban interface 3,Savanna,Urban,
950,Built-up,Non-fuel,,
960,Bare ground,Non-fuel,,
