Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
Lytton,2021-06-30 0:00,0.0,31.1,44,3.06,170,90.0,60.0,500.0,5.0,92.3,18.62
Lytton,2021-06-30 1:00,0.0,29.2,51,4.17,160,90.0,60.0,500.0,5.29,92.3,19.4
Lytton,2021-06-30 2:00,0.0,27.8,55,4.72,160,90.0,60.0,500.0,5.44,92.3,19.8
Lytton,2021-06-30 3:00,0.0,26.6,59,5.83,180,90.0,60.0,500.0,5.75,92.3,20.62
Lytton,2021-06-30 4:00,0.0,26.0,60,4.17,170,90.0,60.0,500.0,5.29,92.3,19.4
Lytton,2021-06-30 5:00,0.0,25.1,62,3.61,180,90.0,60.0,500.0,5.14,92.3,19.01
Lytton,2021-06-30 6:00,0.0,24.9,62,4.17,180,90.0,60.0,500.0,5.29,92.3,19.4
Lytton,2021-06-30 7:00,0.0,25.8,59,4.17,180,90.0,60.0,500.0,5.29,92.3,19.4
Lytton,2021-06-30 8:00,0.0,27.6,52,5.83,190,90.0,60.0,500.0,5.75,92.3,20.62
Lytton,2021-06-30 9:00,0.0,29.8,46,6.67,190,90.0,60.0,500.0,6.0,92.3,21.25
Lytton,2021-06-30 10:00,0.0,32.2,41,5.0,190,90.0,60.0,500.0,5.52,92.3,20.0
Lytton,2021-06-30 11:00,0.0,34.5,36,7.22,180,90.0,60.0,500.0,6.17,92.3,21.68
Lytton,2021-06-30 12:00,0.0,36.1,33,10.28,190,90.0,60.0,500.0,7.2,92.3,24.18
Lytton,2021-06-30 13:00,0.0,37.2,31,9.44,190,90.0,60.0,500.0,6.9,92.3,23.47
Lytton,2021-06-30 14:00,0.0,37.3,32,11.39,190,90.0,60.0,500.0,7.61,92.3,25.14
Lytton,2021-06-30 15:00,0.0,37.2,32,10.28,190,90.0,60.0,500.0,7.2,92.3,24.18
Lytton,2021-06-30 16:00,0.0,36.8,33,7.78,200,90.0,60.0,500.0,6.34,92.3,22.12
