Latitide,39.47276
Longitude,-105.0622
Elevation,1801
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m]
2001-01-01T00:00,-1.7,69,0,2.26,77,0,18,55
2001-01-01T01:00,-4.4,74,0,1.49,132,0,0,30
2001-01-01T02:00,-6.1,75,0,0.85,159,0,0,30
2001-01-01T03:00,-7.7,74,0,1.34,207,0,0,35
2001-01-01T04:00,-8.6,70,0,1.39,210,0,0,35
2001-01-01T05:00,-9.1,66,0,1.86,216,0,0,35
2001-01-01T06:00,-9.6,64,0,2.05,227,0,0,35
2001-01-01T07:00,-10.4,65,0,2.13,229,0,0,35
2001-01-01T08:00,-10.9,64,0,2.48,227,0,0,35
2001-01-01T09:00,-11.6,64,0,2.76,224,0,0,35
2001-01-01T10:00,-12,63,0,2.62,227,13,0,35
2001-01-01T11:00,-12.2,62,0,2.55,228,21,0,35
2001-01-01T12:00,-12.5,61,0,2.55,228,3,0,35
2001-01-01T13:00,-12.7,60,0,2.76,226,0,0,35
2001-01-01T14:00,-12.8,59,0,2.9,224,0,0,35
2001-01-01T15:00,-12.2,57,0,3.19,221,5,12,40
2001-01-01T16:00,-8.8,51,0,3.41,220,48,104,50
2001-01-01T17:00,-3.4,45,0,2.62,223,63,256,75
2001-01-01T18:00,1.7,38,0,1.7,220,67,371,140
2001-01-01T19:00,4.5,35,0,0.95,198,46,342,320
2001-01-01T20:00,5.3,35,0,1,96,38,355,570
2001-01-01T21:00,5.6,31,0,2.77,49,24,291,730
2001-01-01T22:00,3.9,39,0,3.08,36,72,222,430
2001-01-01T23:00,1.4,51,0,2.33,43,67,114,220
2001-01-02T00:00,-1.3,63,0,2.33,47,68,11,105
2001-01-02T01:00,-2.1,66,0,1.66,57,45,0,85
2001-01-02T02:00,-2.3,67,0,1.08,112,11,0,40
2001-01-02T03:00,-5.1,77,0,1.08,214,2,0,25
2001-01-02T04:00,-6.8,80,0,1.49,222,3,0,20
2001-01-02T05:00,-8.7,83,0,1.2,222,2,0,15
2001-01-02T06:00,-9.7,82,0,1.14,218,3,0,15
2001-01-02T07:00,-10.2,78,0,1.42,219,8,0,20
2001-01-02T08:00,-10.4,74,0,1.7,225,60,0,30
