Latitide,51.77504,,,,,,,,,,,,,,
Longitude,-115.292,,,,,,,,,,,,,,
Elevation,1577,,,,,,,,,,,,,,
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m],FFMC hourly [-],FFMC [-],DMC [-],DC [-],ISI [-],BUI [-],FWI [-]
2001-01-01T00:00,-3.9,81,0,3.67,253,91,4,80,84.86158177,0,0,0,0,0,0
2001-01-01T01:00,-4.8,84,0,3.67,253,96,0,75,84.69195073,0,0,0,0,0,0
2001-01-01T02:00,-5.3,84,0,3.67,253,98,0,70,84.53022975,0,0,0,0,0,0
2001-01-01T03:00,-5.9,85,0,3.67,253,98,0,60,84.36239699,0,0,0,0,0,0
2001-01-01T04:00,-6.5,86,0,3.67,253,96,0,55,84.18820377,0,0,0,0,0,0
2001-01-01T05:00,-6.8,85,0,3.61,251,95,0,55,84.03583587,0,0,0,0,0,0
2001-01-01T06:00,-7,85,0,3.7,251,96,0,55,83.88950143,0,0,0,0,0,0
2001-01-01T07:00,-7.1,84,0,3.77,248,96,0,55,83.7613012,0,0,0,0,0,0
2001-01-01T08:00,-6.9,82,0,3.81,247,88,0,55,83.65974436,0,0,0,0,0,0
2001-01-01T09:00,-7.1,84,0,3.81,247,69,0,60,83.53996317,0,0,0,0,0,0
2001-01-01T10:00,-7.5,85,0,3.94,246,29,0,55,83.41268251,0,0,0,0,0,0
2001-01-01T11:00,-7.8,86,0,3.94,246,14,0,60,83.27766225,0,0,0,0,0,0
2001-01-01T12:00,-7.8,85,0,3.94,246,34,0,60,83.16043407,81.88437509,6,15,1.714441306,6,0
2001-01-01T13:00,-7.6,84,0,4.03,247,92,0,65,83.05887233,81.88437509,6,15,1.714441306,6,0
2001-01-01T14:00,-6.8,81,0,3.99,248,100,0,80,82.99092828,81.88437509,6,15,1.714441306,6,0
2001-01-01T15:00,-5.5,77,0,4.12,247,99,0,115,82.95787978,81.88437509,6,15,1.714441306,6,0
2001-01-01T16:00,-4.5,73,0,4.4,249,86,0,210,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-01T17:00,-3,68,0,4.66,255,79,12,385,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-01T18:00,-1.6,64,0,4.69,259,86,15,520,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-01T19:00,-0.4,61,0,4.69,259,73,8,655,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-01T20:00,-0.1,60,0,4.57,260,67,1,740,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-01T21:00,-0.1,59,0,4.36,261,38,29,780,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-01T22:00,-0.4,59,0,4.36,261,1,65,820,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-01T23:00,-1.7,62,0,4.32,257,1,61,600,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-02T00:00,-3.3,69,0,4.11,252,0,6,415,82.95180776,81.88437509,6,15,1.714441306,6,0
2001-01-02T01:00,-4.6,76,0,3.99,248,5,0,280,82.92836763,81.88437509,6,15,1.714441306,6,0
2001-01-02T02:00,-5.5,79,0,3.94,246,17,0,230,82.88288807,81.88437509,6,15,1.714441306,6,0
2001-01-02T03:00,-6.3,81,0,4.07,242,52,0,215,82.82132468,81.88437509,6,15,1.714441306,6,0
2001-01-02T04:00,-6.8,81,0,4.03,240,99,0,170,82.76138845,81.88437509,6,15,1.714441306,6,0
2001-01-02T05:00,-7.3,82,0,4.21,242,91,0,155,82.69402261,81.88437509,6,15,1.714441306,6,0
2001-01-02T06:00,-7.7,82,0,4.38,243,67,0,145,82.62852706,81.88437509,6,15,1.714441306,6,0
2001-01-02T07:00,-7.5,78,0,4.21,242,92,0,130,82.59648165,81.88437509,6,15,1.714441306,6,0
2001-01-02T08:00,-7.9,79,0,3.98,242,100,0,115,82.55803046,81.88437509,6,15,1.714441306,6,0
2001-01-02T09:00,-8,79,0,4.21,242,100,0,115,82.52053094,81.88437509,6,15,1.714441306,6,0
2001-01-02T10:00,-7.8,77,0,4.25,243,100,0,115,82.4974463,81.88437509,6,15,1.714441306,6,0
2001-01-02T11:00,-6.5,72,0,4.12,241,100,0,115,82.4974463,81.88437509,6,15,1.714441306,6,0
2001-01-02T12:00,-5.4,68,0,3.72,239,100,0,105,82.4974463,81.89744194,6,15,1.698208825,6,0
2001-01-02T13:00,-5.2,71,0,3.47,237,100,0,85,82.4974463,81.89744194,6,15,1.698208825,6,0
2001-01-02T14:00,-5.4,74,0,3.36,233,100,0,85,82.49718309,81.89744194,6,15,1.698208825,6,0
2001-01-02T15:00,-5.6,76,0,3.28,232,100,0,85,82.4855599,81.89744194,6,15,1.698208825,6,0
2001-01-02T16:00,-5.8,78,0,3.36,233,100,0,100,82.46133141,81.89744194,6,15,1.698208825,6,0
2001-01-02T17:00,-5.1,74,0,3.55,238,100,0,160,82.46133141,81.89744194,6,15,1.698208825,6,0
2001-01-02T18:00,-2.5,62,0,4.66,239,100,1,450,82.46133141,81.89744194,6,15,1.698208825,6,0
2001-01-02T19:00,1.2,53,0,5.73,245,99,17,610,82.48355492,81.89744194,6,15,1.698208825,6,0
2001-01-02T20:00,2.8,53,0,6.37,248,45,54,620,82.51096215,81.89744194,6,15,1.698208825,6,0
2001-01-02T21:00,3.1,54,0,6.17,250,67,173,610,82.53527012,81.89744194,6,15,1.698208825,6,0
2001-01-02T22:00,2.9,57,0,5.72,251,90,101,570,82.54874028,81.89744194,6,15,1.698208825,6,0
2001-01-02T23:00,2.4,60,0,5.72,251,57,27,540,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T00:00,1.9,63,0,5.5,251,71,1,465,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T01:00,1.5,64,0,5.57,249,61,0,425,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T02:00,1.4,65,0,5.79,249,79,0,425,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T03:00,1.5,65,0,5.83,248,83,0,425,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T04:00,1.5,65,0,6.05,248,68,0,435,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T05:00,1.2,66,0,6.09,247,87,0,450,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T06:00,0.7,66,0,6.04,246,98,0,415,82.55294809,81.89744194,6,15,1.698208825,6,0
2001-01-03T07:00,1.6,60,0,5.72,243,98,0,355,82.55544075,81.89744194,6,15,1.698208825,6,0
2001-01-03T08:00,1.4,59,0,5.59,241,93,0,335,82.55971986,81.89744194,6,15,1.698208825,6,0
2001-01-03T09:00,1.7,54,0,5.55,242,98,0,340,82.57862615,81.89744194,6,15,1.698208825,6,0
2001-01-03T10:00,2,50,0,5.41,242,98,0,290,82.61327665,81.89744194,6,15,1.698208825,6,0
2001-01-03T11:00,2.6,47,0,5.19,242,100,0,250,82.66399414,81.89744194,6,15,1.698208825,6,0
