Latitide,39.47276
Longitude,-105.0622
Elevation,1801
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m],FFMC hourly [-],FFMC [-],DMC [-],DC [-],ISI [-],BUI [-],FWI [-]
2001-01-01T00:00,-1.7,69,0,2.26,77,0,18,55,84.9624424720428,0,0,0,0,0,0
2001-01-01T01:00,-4.4,74,0,1.49,132,0,0,30,84.8916418902937,0,0,0,0,0,0
2001-01-01T02:00,-6.1,75,0,0.85,159,0,0,30,84.8160950171736,0,0,0,0,0,0
2001-01-01T03:00,-7.7,74,0,1.34,207,0,0,35,84.7488442627446,0,0,0,0,0,0
2001-01-01T04:00,-8.6,70,0,1.39,210,0,0,35,84.7055428557858,0,0,0,0,0,0
2001-01-01T05:00,-9.1,66,0,1.86,216,0,0,35,84.6805122536145,0,0,0,0,0,0
2001-01-01T06:00,-9.6,64,0,2.05,227,0,0,35,84.6628709885386,0,0,0,0,0,0
2001-01-01T07:00,-10.4,65,0,2.13,229,0,0,35,84.6410903846585,0,0,0,0,0,0
2001-01-01T08:00,-10.9,64,0,2.48,227,0,0,35,84.6226777472537,0,0,0,0,0,0
2001-01-01T09:00,-11.6,64,0,2.76,224,0,0,35,84.6038427387946,0,0,0,0,0,0
2001-01-01T10:00,-12,63,0,2.62,227,13,0,35,84.5881576498572,0,0,0,0,0,0
2001-01-01T11:00,-12.2,62,0,2.55,228,21,0,35,84.5755504422061,0,0,0,0,0,0
2001-01-01T12:00,-12.5,61,0,2.55,228,3,0,35,84.5656513376045,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T13:00,-12.7,60,0,2.76,226,0,0,35,84.558340070142,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T14:00,-12.8,59,0,2.9,224,0,0,35,84.5535301891231,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T15:00,-12.2,57,0,3.19,221,5,12,40,84.5535301891231,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T16:00,-8.8,51,0,3.41,220,48,104,50,84.5535301891231,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T17:00,-3.4,45,0,2.62,223,63,256,75,84.5535301891231,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T18:00,1.7,38,0,1.7,220,67,371,140,84.6051314338524,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T19:00,4.5,35,0,0.95,198,46,342,320,84.6967834837868,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T20:00,5.3,35,0,1,96,38,355,570,84.7923266328399,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T21:00,5.6,31,0,2.77,49,24,291,730,84.9274151295533,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T22:00,3.9,39,0,3.08,36,72,222,430,84.976254407813,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-01T23:00,1.4,51,0,2.33,43,67,114,220,84.976254407813,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T00:00,-1.3,63,0,2.33,47,68,11,105,84.9697199239061,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T01:00,-2.1,66,0,1.66,57,45,0,85,84.9483453687573,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T02:00,-2.3,67,0,1.08,112,11,0,40,84.9223319649188,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T03:00,-5.1,77,0,1.08,214,2,0,25,84.8302353175188,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T04:00,-6.8,80,0,1.49,222,3,0,20,84.7152667361898,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T05:00,-8.7,83,0,1.2,222,2,0,15,84.5774583421587,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T06:00,-9.7,82,0,1.14,218,3,0,15,84.4560264259314,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T07:00,-10.2,78,0,1.42,219,8,0,20,84.3715986980763,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T08:00,-10.4,74,0,1.7,225,60,0,30,84.3150032383687,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T09:00,-10.4,72,0,1.84,229,98,0,30,84.2704548360751,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T10:00,-10.6,70,0,1.92,231,100,0,30,84.236281462527,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T11:00,-10.9,69,0,2.14,233,100,0,35,84.2068739943059,84.0460287440598,6,15,2.10544487650553,6,0
2001-01-02T12:00,-10.9,68,0,2.36,234,98,0,35,84.182123155024,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T13:00,-11.2,67,0,2.36,234,62,0,30,84.161374234173,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T14:00,-11.4,67,0,2.28,232,26,0,30,84.1408129441677,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T15:00,-11.2,66,0,2.36,234,8,9,30,84.1244515228365,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T16:00,-8,57,0,2.42,232,2,112,40,84.1244515228365,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T17:00,-2.9,49,0,2,233,0,260,75,84.1244515228365,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T18:00,1.6,39,0,1.17,250,0,370,410,84.1800597353257,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T19:00,3.2,36,0,1.08,292,0,432,850,84.265895119701,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T20:00,4,35,0,1.44,326,0,438,1155,84.3639044180673,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T21:00,4.4,33,0,1.52,337,0,386,1120,84.4803918624372,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T22:00,4.2,31,0,0.72,56,0,281,575,84.6101056491154,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-02T23:00,3.7,29,0,1.7,130,0,141,55,84.7524581117152,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T00:00,0.8,37,0,2.18,196,100,21,30,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T01:00,-2.9,47,0,2,217,95,0,25,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T02:00,-4.7,51,0,2.55,225,92,0,40,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T03:00,-5.3,51,0,2.98,230,82,0,45,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T04:00,-5.8,52,0,3.22,234,65,0,45,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T05:00,-6.1,51,0,3.64,233,82,0,50,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T06:00,-6.4,51,0,3.92,232,2,0,55,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T07:00,-7.1,53,0,3.92,232,0,0,50,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T08:00,-7.5,52,0,3.92,232,0,0,50,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T09:00,-7.8,50,0,4.06,232,0,0,50,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T10:00,-7,45,0,3.69,229,0,0,45,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T11:00,-6.3,43,0,3.76,230,0,0,45,84.7998730698341,83.0202410219542,6,15,1.82333741782525,6,0
2001-01-03T12:00,-6.4,44,0,3.56,232,0,0,40,84.7998730698341,83.4953288153706,6,15,2.05983071515656,6,0
2001-01-03T13:00,-6.6,46,0,3.48,231,5,0,40,84.7998730698341,83.4953288153706,6,15,2.05983071515656,6,0
2001-01-03T14:00,-6.8,48,0,3.41,230,1,0,45,84.7998730698341,83.4953288153706,6,15,2.05983071515656,6,0
2001-01-03T15:00,-6.5,49,0,3.47,229,0,11,45,84.7998730698341,83.4953288153706,6,15,2.05983071515656,6,0
2001-01-03T16:00,-3.3,43,0,3.47,226,7,115,55,84.8003133669617,83.4953288153706,6,15,2.05983071515656,6,0
2001-01-03T17:00,1.8,35,0,2.83,225,4,254,80,84.8663802590652,83.4953288153706,6,15,2.05983071515656,6,0
2001-01-03T18:00,6.1,28,0,2.05,227,0,364,135,85.0393210962038,83.4953288153706,6,15,2.05983071515656,6,0
