Time(s),Households left,People left,Total households responded, Total people responded,Total households reached car,Total people reached car,Total cars activated,Avg. walking dist.
0,1000,2551,0,0,0,0,0,0
1,1000,2551,0,0,0,0,0,0
2,1000,2551,0,0,0,0,0,0
3,1000,2551,0,0,0,0,0,0
4,1000,2551,0,0,0,0,0,0
5,1000,2551,0,0,0,0,0,0
6,1000,2551,0,0,0,0,0,0
7,1000,2551,0,0,0,0,0,0
8,1000,2551,0,0,0,0,0,0
9,1000,2551,0,0,0,0,0,0
10,1000,2551,0,0,0,0,0,0
11,1000,2551,1,3,0,0,0,0
12,1000,2551,1,3,0,0,0,0
13,1000,2551,2,5,0,0,0,0
14,1000,2551,2,5,0,0,0,0
15,1000,2551,2,5,0,0,0,0
16,1000,2551,2,5,0,0,0,0
17,1000,2551,2,5,0,0,0,0
18,1000,2551,3,6,0,0,0,0
19,1000,2551,3,6,0,0,0,0
20,1000,2551,3,6,0,0,0,0
21,1000,2551,3,6,0,0,0,0
22,1000,2551,3,6,0,0,0,0
23,1000,2551,3,6,0,0,0,0
24,1000,2551,3,6,0,0,0,0
25,1000,2551,3,6,0,0,0,0
26,1000,2551,3,6,0,0,0,0
27,1000,2551,3,6,0,0,0,0
28,1000,2551,3,6,0,0,0,0
29,1000,2551,3,6,0,0,0,0
30,1000,2551,3,6,0,0,0,0
31,1000,2551,3,6,0,0,0,0
32,1000,2551,3,6,0,0,0,0
33,1000,2551,3,6,0,0,0,0
34,1000,2551,4,9,0,0,0,0
35,1000,2551,4,9,0,0,0,0
36,1000,2551,5,10,0,0,0,0
37,1000,2551,5,10,0,0,0,0
38,1000,2551,6,13,0,0,0,0
39,1000,2551,6,13,0,0,0,0
40,1000,2551,6,13,0,0,0,0
41,1000,2551,6,13,0,0,0,0
42,1000,2551,6,13,0,0,0,0
43,1000,2551,6,13,0,0,0,0
44,1000,2551,7,15,0,0,0,0
45,1000,2551,7,15,0,0,0,0
46,1000,2551,7,15,0,0,0,0
47,1000,2551,7,15,0,0,0,0
48,1000,2551,7,15,0,0,0,0
49,1000,2551,7,15,0,0,0,0
50,1000,2551,7,15,0,0,0,0
51,1000,2551,7,15,0,0,0,0
52,1000,2551,7,15,0,0,0,0
53,1000,2551,8,18,0,0,0,0
54,1000,2551,8,18,0,0,0,0
55,1000,2551,8,18,0,0,0,0
56,1000,2551,8,18,0,0,0,0
57,1000,2551,8,18,0,0,0,0
58,1000,2551,8,18,0,0,0,0
59,1000,2551,8,18,0,0,0,0
60,1000,2551,8,18,0,0,0,0
61,1000,2551,8,18,0,0,0,0
62,1000,2551,8,18,0,0,0,0
63,1000,2551,8,18,0,0,0,0
64,1000,2551,8,18,0,0,0,0
65,1000,2551,8,18,0,0,0,0
66,1000,2551,8,18,0,0,0,0
67,1000,2551,8,18,0,0,0,0
68,1000,2551,8,18,0,0,0,0
69,1000,2551,8,18,0,0,0,0
70,1000,2551,8,18,0,0,0,0
71,1000,2551,8,18,0,0,0,0
72,1000,2551,8,18,0,0,0,0
73,1000,2551,8,18,0,0,0,0
74,1000,2551,8,18,0,0,0,0
75,1000,2551,8,18,0,0,0,0
76,1000,2551,8,18,0,0,0,0
77,1000,2551,8,18,0,0,0,0
78,999,2548,8,18,1,3,1,0
79,999,2548,8,18,1,3,1,21.43652
80,999,2548,8,18,1,3,1,21.43652
81,999,2548,8,18,1,3,1,21.43652
82,999,2548,8,18,1,3,1,21.43652
83,999,2548,8,18,1,3,1,21.43652
84,999,2548,8,18,1,3,1,21.43652
85,999,2548,9,19,1,3,1,21.43652
86,998,2546,9,19,2,5,2,21.43652
87,998,2546,9,19,2,5,2,45.71198
88,998,2546,9,19,2,5,2,45.71198
89,998,2546,9,19,2,5,2,45.71198
90,998,2546,9,19,2,5,2,45.71198
91,997,2543,9,19,3,8,3,45.71198
92,997,2543,9,19,3,8,3,49.66279
93,997,2543,9,19,3,8,3,49.66279
94,997,2543,9,19,3,8,3,49.66279
95,997,2543,10,21,3,8,3,49.66279
96,997,2543,10,21,3,8,3,49.66279
97,997,2543,10,21,3,8,3,49.66279
98,997,2543,10,21,3,8,3,49.66279
99,997,2543,10,21,3,8,3,49.66279
100,997,2543,10,21,3,8,3,49.66279
101,997,2543,10,21,3,8,3,49.66279
102,997,2543,10,21,3,8,3,49.66279
103,997,2543,10,21,3,8,3,49.66279
104,997,2543,10,21,3,8,3,49.66279
105,997,2543,10,21,3,8,3,49.66279
106,997,2543,11,22,3,8,3,49.66279
107,997,2543,11,22,3,8,3,49.66279
108,997,2543,11,22,3,8,3,49.66279
109,997,2543,11,22,3,8,3,49.66279
110,997,2543,11,22,3,8,3,49.66279
111,997,2543,11,22,3,8,3,49.66279
112,997,2543,11,22,3,8,3,49.66279
113,997,2543,11,22,3,8,3,49.66279
114,997,2543,11,22,3,8,3,49.66279
115,996,2542,11,22,4,9,4,49.66279
116,995,2539,11,22,5,12,5,56.06173
117,995,2539,11,22,5,12,5,57.20927
118,995,2539,11,22,5,12,5,57.20927
119,995,2539,11,22,5,12,5,57.20927
120,995,2539,11,22,5,12,5,57.20927
121,995,2539,11,22,5,12,5,57.20927
122,994,2537,11,22,6,14,6,57.20927
123,994,2537,11,22,6,14,6,57.78441
124,994,2537,11,22,6,14,6,57.78441
125,994,2537,11,22,6,14,6,57.78441
126,994,2537,11,22,6,14,6,57.78441
127,994,2537,11,22,6,14,6,57.78441
128,993,2536,11,22,7,15,7,57.78441
129,993,2536,11,22,7,15,7,62.09832
130,993,2536,11,22,7,15,7,62.09832
131,993,2536,11,22,7,15,7,62.09832
132,993,2536,11,22,7,15,7,62.09832
133,992,2533,11,22,8,18,8,62.09832
134,991,2532,11,22,9,19,9,63.33896
135,991,2532,11,22,9,19,9,61.3513
136,991,2532,11,22,9,19,9,61.3513
