Time [s],ArrivalIndex [-]
0.0, 0
570,1
643,2
754,3
774,4
788,5
860,6
861,7
862,8
867,9
892,10
894,11
897,12
905,13
930,14
931,15
973,16
974,17
975,18
976,19
976,20
1006,21
1011,22
1037,23
1038,24
1077,25
1079,26
1082,27
1083,28
1084,29
1085,30
1086,31
1087,32
1087,33
1089,34
1089,35
1090,36
1091,37
1092,38
1093,39
1095,40
1096,41
1097,42
1097,43
1098,44
1099,45
1099,46
1100,47
1101,48
1102,49
1102,50
1104,51
1105,52
1135,53
1137,54
1140,55
1172,56
1195,57
1209,58
1211,59
1212,60
1214,61
1216,62
1217,63
1217,64
1219,65
1219,66
1220,67
1221,68
1222,69
1223,70
1223,71
1224,72
1226,73
1226,74
1227,75
1229,76
1231,77
1231,78
1233,79
1233,80
1234,81
1235,82
1237,83
1243,84
1268,85
1270,86
1272,87
1272,88
1273,89
1273,90
1275,91
1276,92
1276,93
1277,94
1312,95
1314,96
1315,97
1315,98
1317,99
1318,100
1319,101
1321,102
1322,103
1324,104
1325,105
1327,106
1327,107
1328,108
1328,109
1330,110
1330,111
1332,112
1332,113
1339,114
1363,115
1366,116
1368,117
1369,118
1375,119
1402,120
1404,121
1404,122
1406,123
1408,124
1410,125
1410,126
1411,127
1412,128
1413,129
1415,130
1415,131
1416,132
1417,133
1418,134
1418,135
1419,136
1420,137
1421,138
1422,139
1422,140
1423,141
1425,142
1425,143
1434,144
1439,145
1441,146
1456,147
1457,148
1458,149
1459,150
1459,151
1461,152
1463,153
1464,154
1466,155
1468,156
1468,157
1502,158
1502,159
1503,160
1505,161
1506,162
1507,163
1508,164
1508,165
1510,166
1510,167
1511,168
1513,169
1513,170
1514,171
1582,172
1584,173
1584,174
1585,175
1587,176
1587,177
1588,178
1590,179
1591,180
1592,181
1594,182
1595,183
1597,184
1598,185
1599,186
1600,187
1600,188
1601,189
1602,190
1602,191
1603,192
1603,193
1603,194
1605,195
1605,196
1606,197
1606,198
1608,199
1608,200
1610,201
1611,202
1611,203
1616,204
1618,205
1618,206
1624,207
1624,208
1657,209
1659,210
1660,211
1660,212
1662,213
1664,214
1665,215
1666,216
1667,217
1668,218
1669,219
1669,220
1671,221
1672,222
1672,223
1673,224
1674,225
1675,226
1675,227
1676,228
1678,229
1680,230
1681,231
1712,232
1713,233
1714,234
1715,235
1717,236
1719,237
1719,238
1720,239
1720,240
1722,241
1723,242
1758,243
1759,244
1760,245
1760,246
1762,247
1762,248
1763,249
1763,250
1765,251
1765,252
1765,253
1767,254
1773,255
1791,256
1792,257
1797,258
1799,259
1800,260
1800,261
1804,262
1810,263
1811,264
1842,265
1842,266
1845,267
1847,268
1848,269
1849,270
1853,271
1854,272
1860,273
1885,274
1886,275
1888,276
1889,277
1891,278
1891,279
1892,280
1892,281
1894,282
1894,283
1895,284
1896,285
1897,286
1897,287
1899,288
1899,289
1900,290
1901,291
1902,292
1903,293
1904,294
1905,295
1905,296
1907,297
1908,298
1910,299
1915,300
1916,301
1918,302
1953,303
1989,304
1990,305
1991,306
1993,307
1993,308
1994,309
1995,310
1997,311
1998,312
1998,313
1999,314
2000,315
2001,316
2001,317
2003,318
2003,319
2004,320
2004,321
2006,322
2007,323
2008,324
2009,325
2009,326
2011,327
2011,328
2081,329
2082,330
2083,331
2084,332
2084,333
2086,334
2087,335
2090,336
2091,337
2092,338
2093,339
2094,340
2095,341
2096,342
2097,343
2097,344
2098,345
2099,346
2100,347
2100,348
2101,349
2102,350
2103,351
2105,352
2106,353
2107,354
2109,355
2110,356
2117,357
2138,358
2139,359
2140,360
2143,361
2145,362
2145,363
2146,364
2147,365
2150,366
2180,367
2181,368
2183,369
2184,370
2185,371
2186,372
2187,373
2189,374
2191,375
2191,376
2192,377
2193,378
2193,379
2194,380
2195,381
2196,382
2196,383
2197,384
2198,385
2199,386
2200,387
2200,388
2202,389
2203,390
2233,391
2234,392
2238,393
2239,394
2240,395
2242,396
2243,397
2277,398
2279,399
2280,400
2281,401
2282,402
2282,403
2283,404
2284,405
2285,406
2285,407
2286,408
2287,409
2288,410
2289,411
2290,412
2291,413
2293,414
2321,415
2324,416
2326,417
2328,418
2330,419
2364,420
2365,421
2370,422
2371,423
2375,424
2376,425
2377,426
2377,427
2378,428
2379,429
2379,430
2381,431
2382,432
2382,433
2382,434
2384,435
2384,436
2385,437
2386,438
2387,439
2387,440
2389,441
2390,442
2390,443
2422,444
2423,445
2425,446
2426,447
2429,448
2429,449
2430,450
2432,451
2432,452
2433,453
2434,454
2435,455
2436,456
2436,457
2437,458
2438,459
2438,460
2440,461
2440,462
2441,463
2441,464
2443,465
2444,466
2445,467
2446,468
2449,469
2456,470
2469,471
2479,472
2487,473
2489,474
2490,475
2491,476
2492,477
2493,478
2523,479
2523,480
2525,481
2526,482
2527,483
2528,484
2528,485
2529,486
2530,487
2530,488
2532,489
2532,490
2534,491
2534,492
2536,493
2537,494
2607,495
2608,496
2611,497
2612,498
2612,499
2614,500
2614,501
2615,502
2616,503
2618,504
2620,505
2621,506
2623,507
2623,508
2627,509
2628,510
2630,511
2631,512
2631,513
2636,514
2663,515
2664,516
2665,517
2666,518
2667,519
2667,520
2669,521
2671,522
2671,523
2671,524
2674,525
2674,526
2675,527
2675,528
2677,529
2677,530
2678,531
2679,532
2680,533
2680,534
2681,535
2682,536
2685,537
2685,538
2686,539
2688,540
2688,541
2690,542
2694,543
2696,544
2696,545
2699,546
2700,547
2729,548
2733,549
2737,550
2739,551
2740,552
2770,553
2772,554
2773,555
2774,556
2774,557
2775,558
2776,559
2778,560
2778,561
2779,562
2781,563
2782,564
2782,565
2783,566
2784,567
2785,568
2786,569
2787,570
2787,571
2788,572
2789,573
2853,574
2860,575
2862,576
2863,577
2865,578
2865,579
2865,580
2867,581
2867,582
2868,583
2868,584
2870,585
2871,586
2872,587
2873,588
2874,589
2874,590
2876,591
2876,592
2909,593
2909,594
2911,595
2912,596
2913,597
2914,598
2915,599
2916,600
2917,601
2918,602
2918,603
2920,604
2920,605
2921,606
2957,607
2957,608
2958,609
2960,610
2960,611
2962,612
2966,613
2966,614
2967,615
2968,616
2968,617
2969,618
2970,619
2970,620
2972,621
2972,622
2974,623
2974,624
2975,625
2976,626
2977,627
2979,628
2979,629
2981,630
2981,631
3015,632
3015,633
3016,634
3017,635
3018,636
3019,637
3020,638
3056,639
3058,640
3058,641
3059,642
3060,643
3061,644
3062,645
3063,646
3063,647
3065,648
3065,649
3066,650
3066,651
3068,652
3097,653
3098,654
3099,655
3100,656
3104,657
3106,658
3108,659
3108,660
3109,661
3110,662
3110,663
3111,664
3112,665
3113,666
3114,667
3114,668
3116,669
3151,670
3151,671
3153,672
3156,673
3158,674
3159,675
3162,676
3163,677
3165,678
3166,679
3193,680
3193,681
3194,682
3198,683
3198,684
3199,685
3205,686
3205,687
3208,688
3213,689
3216,690
3245,691
3245,692
3247,693
3247,694
3248,695
3250,696
3251,697
3252,698
3253,699
3254,700
3255,701
3257,702
3258,703
3259,704
3260,705
3260,706
3261,707
3262,708
3292,709
3293,710
3296,711
3297,712
3298,713
3300,714
3300,715
3300,716
3301,717
3303,718
3304,719
3304,720
3305,721
3306,722
3307,723
3308,724
3309,725
3310,726
3311,727
3312,728
3313,729
3315,730
3316,731
3316,732
3318,733
3322,734
3325,735
3352,736
3358,737
3359,738
3360,739
3361,740
3363,741
3394,742
3396,743
3398,744
3399,745
3402,746
3404,747
3406,748
3407,749
3408,750
3409,751
3411,752
3412,753
3413,754
3414,755
3416,756
3417,757
3424,758
3451,759
3451,760
3456,761
3456,762
3458,763
3458,764
3459,765
3459,766
3461,767
3461,768
3462,769
3462,770
3464,771
3465,772
3465,773
3467,774
3495,775
3498,776
3501,777
3501,778
3503,779
3504,780
3507,781
3509,782
3510,783
3510,784
3510,785
3512,786
3514,787
3517,788
3517,789
3517,790
3522,791
3544,792
3545,793
3547,794
3549,795
3588,796
3590,797
3595,798
3598,799
3598,800
3599,801
3599,802
3601,803
3603,804
3603,805
3603,806
3604,807
3604,808
3606,809
3606,810
3607,811
3608,812
3609,813
3609,814
3611,815
3612,816
3613,817
3613,818
3614,819
3615,820
3616,821
3641,822
3646,823
3650,824
3682,825
3714,826
3715,827
3720,828
3720,829
3722,830
3726,831
3727,832
3727,833
3729,834
3730,835
3730,836
3730,837
3732,838
3732,839
3732,840
3733,841
3734,842
3735,843
3737,844
3737,845
3766,846
3769,847
3770,848
3774,849
3777,850
3778,851
3779,852
3779,853
3780,854
3781,855
3781,856
3783,857
3783,858
3783,859
3785,860
