Time(s),Households left,People left,Total households responded, Total people responded,Total households reached car,Total people reached car,Total cars activated,Avg. walking dist.
0,1000,2551,0,0,0,0,0,0
1,1000,2551,0,0,0,0,0,0
2,1000,2551,0,0,0,0,0,0
3,1000,2551,0,0,0,0,0,0
4,1000,2551,0,0,0,0,0,0
5,1000,2551,0,0,0,0,0,0
6,1000,2551,0,0,0,0,0,0
7,1000,2551,0,0,0,0,0,0
8,1000,2551,1,4,0,0,0,0
9,1000,2551,1,4,0,0,0,0
10,1000,2551,1,4,0,0,0,0
11,1000,2551,1,4,0,0,0,0
12,1000,2551,1,4,0,0,0,0
13,1000,2551,1,4,0,0,0,0
14,1000,2551,1,4,0,0,0,0
15,1000,2551,1,4,0,0,0,0
16,1000,2551,1,4,0,0,0,0
17,1000,2551,1,4,0,0,0,0
18,1000,2551,2,6,0,0,0,0
19,1000,2551,2,6,0,0,0,0
20,1000,2551,2,6,0,0,0,0
21,1000,2551,3,10,0,0,0,0
22,1000,2551,3,10,0,0,0,0
23,1000,2551,4,13,0,0,0,0
24,1000,2551,4,13,0,0,0,0
25,1000,2551,4,13,0,0,0,0
26,1000,2551,4,13,0,0,0,0
27,1000,2551,4,13,0,0,0,0
28,1000,2551,4,13,0,0,0,0
29,1000,2551,4,13,0,0,0,0
30,1000,2551,4,13,0,0,0,0
31,1000,2551,4,13,0,0,0,0
32,1000,2551,4,13,0,0,0,0
33,1000,2551,4,13,0,0,0,0
34,1000,2551,4,13,0,0,0,0
35,1000,2551,4,13,0,0,0,0
36,1000,2551,4,13,0,0,0,0
37,1000,2551,5,18,0,0,0,0
38,1000,2551,5,18,0,0,0,0
39,1000,2551,5,18,0,0,0,0
40,1000,2551,5,18,0,0,0,0
41,1000,2551,5,18,0,0,0,0
42,1000,2551,5,18,0,0,0,0
43,1000,2551,5,18,0,0,0,0
44,1000,2551,5,18,0,0,0,0
45,1000,2551,5,18,0,0,0,0
46,1000,2551,5,18,0,0,0,0
47,999,2549,5,18,1,2,1,0
48,999,2549,5,18,1,2,1,28.12893
49,999,2549,5,18,1,2,1,28.12893
50,999,2549,5,18,1,2,1,28.12893
51,999,2549,6,22,1,2,1,28.12893
52,999,2549,6,22,1,2,1,28.12893
53,998,2545,6,22,2,6,2,28.12893
54,998,2545,6,22,2,6,2,14.85132
55,998,2545,6,22,2,6,2,14.85132
56,998,2545,6,22,2,6,2,14.85132
57,998,2545,6,22,2,6,2,14.85132
58,998,2545,6,22,2,6,2,14.85132
59,998,2545,6,22,2,6,2,14.85132
60,997,2542,6,22,3,9,3,14.85132
61,997,2542,6,22,3,9,3,20.16698
62,997,2542,7,23,3,9,3,20.16698
63,997,2542,7,23,3,9,3,20.16698
64,997,2542,7,23,3,9,3,20.16698
65,997,2542,7,23,3,9,3,20.16698
66,997,2542,7,23,3,9,3,20.16698
67,997,2542,7,23,3,9,3,20.16698
68,997,2542,7,23,3,9,3,20.16698
69,997,2542,7,23,3,9,3,20.16698
70,997,2542,7,23,3,9,3,20.16698
71,997,2542,8,26,3,9,3,20.16698
72,997,2542,9,27,3,9,3,20.16698
73,997,2542,9,27,3,9,3,20.16698
74,997,2542,9,27,3,9,3,20.16698
75,997,2542,9,27,3,9,3,20.16698
76,997,2542,9,27,3,9,3,20.16698
77,997,2542,9,27,3,9,3,20.16698
78,997,2542,9,27,3,9,3,20.16698
79,997,2542,9,27,3,9,3,20.16698
80,997,2542,9,27,3,9,3,20.16698
81,997,2542,9,27,3,9,3,20.16698
82,997,2542,9,27,3,9,3,20.16698
83,997,2542,9,27,3,9,3,20.16698
84,996,2538,9,27,4,13,4,20.16698
85,996,2538,9,27,4,13,4,31.81377
86,996,2538,9,27,4,13,4,31.81377
87,996,2538,9,27,4,13,4,31.81377
88,996,2538,10,31,4,13,4,31.81377
89,996,2538,10,31,4,13,4,31.81377
90,996,2538,10,31,4,13,4,31.81377
91,996,2538,10,31,4,13,4,31.81377
92,996,2538,10,31,4,13,4,31.81377
93,996,2538,10,31,4,13,4,31.81377
94,996,2538,10,31,4,13,4,31.81377
95,996,2538,11,32,4,13,4,31.81377
96,996,2538,11,32,4,13,4,31.81377
97,996,2538,12,37,4,13,4,31.81377
98,996,2538,12,37,4,13,4,31.81377
99,996,2538,12,37,4,13,4,31.81377
100,996,2538,12,37,4,13,4,31.81377
101,996,2538,12,37,4,13,4,31.81377
102,996,2538,12,37,4,13,4,31.81377
103,996,2538,12,37,4,13,4,31.81377
104,996,2538,12,37,4,13,4,31.81377
105,995,2535,12,37,5,16,5,31.81377
106,995,2535,13,40,5,16,5,31.6001
107,995,2535,13,40,5,16,5,31.6001
108,995,2535,13,40,5,16,5,31.6001
109,995,2535,14,44,5,16,5,31.6001
110,995,2535,14,44,5,16,5,31.6001
111,995,2535,14,44,5,16,5,31.6001
112,995,2535,14,44,5,16,5,31.6001
113,995,2535,14,44,5,16,5,31.6001
114,995,2535,14,44,5,16,5,31.6001
115,994,2530,15,47,6,21,6,31.6001
116,994,2530,15,47,6,21,6,38.12641
117,994,2530,15,47,6,21,6,38.12641
118,994,2530,15,47,6,21,6,38.12641
119,994,2530,15,47,6,21,6,38.12641
120,994,2530,15,47,6,21,6,38.12641
121,994,2530,15,47,6,21,6,38.12641
122,994,2530,16,52,6,21,6,38.12641
123,994,2530,17,54,6,21,6,38.12641
124,993,2529,17,54,7,22,7,38.12641
125,993,2529,17,54,7,22,7,40.21966
126,992,2528,17,54,8,23,8,40.21966
127,992,2528,17,54,8,23,8,38.14512
128,991,2524,17,54,9,27,9,38.14512
129,991,2524,17,54,9,27,9,43.22353
130,991,2524,17,54,9,27,9,43.22353
131,991,2524,17,54,9,27,9,43.22353
132,991,2524,17,54,9,27,9,43.22353
133,991,2524,17,54,9,27,9,43.22353
