Time(s),Households left,People left,Total households responded, Total people responded,Total households reached car,Total people reached car,Total cars activated,Avg. walking dist.
0,1000,2551,0,0,0,0,0,0
1,1000,2551,1,5,0,0,0,0
2,1000,2551,1,5,0,0,0,0
3,1000,2551,1,5,0,0,0,0
4,1000,2551,1,5,0,0,0,0
5,1000,2551,1,5,0,0,0,0
6,1000,2551,1,5,0,0,0,0
7,1000,2551,1,5,0,0,0,0
8,1000,2551,1,5,0,0,0,0
9,1000,2551,1,5,0,0,0,0
10,1000,2551,1,5,0,0,0,0
11,1000,2551,1,5,0,0,0,0
12,1000,2551,1,5,0,0,0,0
13,1000,2551,1,5,0,0,0,0
14,1000,2551,1,5,0,0,0,0
15,1000,2551,1,5,0,0,0,0
16,1000,2551,3,11,0,0,0,0
17,1000,2551,3,11,0,0,0,0
18,1000,2551,3,11,0,0,0,0
19,1000,2551,3,11,0,0,0,0
20,1000,2551,3,11,0,0,0,0
21,1000,2551,3,11,0,0,0,0
22,1000,2551,3,11,0,0,0,0
23,1000,2551,3,11,0,0,0,0
24,1000,2551,3,11,0,0,0,0
25,1000,2551,5,16,0,0,0,0
26,1000,2551,5,16,0,0,0,0
27,1000,2551,5,16,0,0,0,0
28,1000,2551,5,16,0,0,0,0
29,1000,2551,5,16,0,0,0,0
30,1000,2551,5,16,0,0,0,0
31,1000,2551,5,16,0,0,0,0
32,1000,2551,5,16,0,0,0,0
33,1000,2551,5,16,0,0,0,0
34,1000,2551,5,16,0,0,0,0
35,1000,2551,5,16,0,0,0,0
36,1000,2551,5,16,0,0,0,0
37,1000,2551,5,16,0,0,0,0
38,1000,2551,5,16,0,0,0,0
39,1000,2551,5,16,0,0,0,0
40,1000,2551,5,16,0,0,0,0
41,1000,2551,5,16,0,0,0,0
42,1000,2551,5,16,0,0,0,0
43,1000,2551,5,16,0,0,0,0
44,999,2550,5,16,1,1,1,0
45,999,2550,6,18,1,1,1,25.695627
46,999,2550,6,18,1,1,1,25.695627
47,999,2550,7,19,1,1,1,25.695627
48,999,2550,7,19,1,1,1,25.695627
49,999,2550,7,19,1,1,1,25.695627
50,999,2550,7,19,1,1,1,25.695627
51,999,2550,7,19,1,1,1,25.695627
52,999,2550,7,19,1,1,1,25.695627
53,999,2550,7,19,1,1,1,25.695627
54,999,2550,7,19,1,1,1,25.695627
55,999,2550,7,19,1,1,1,25.695627
56,999,2550,7,19,1,1,1,25.695627
57,999,2550,7,19,1,1,1,25.695627
58,999,2550,7,19,1,1,1,25.695627
59,999,2550,8,22,1,1,1,25.695627
60,999,2550,8,22,1,1,1,25.695627
61,999,2550,8,22,1,1,1,25.695627
62,999,2550,8,22,1,1,1,25.695627
63,999,2550,8,22,1,1,1,25.695627
64,999,2550,8,22,1,1,1,25.695627
65,999,2550,9,25,1,1,1,25.695627
66,998,2548,9,25,2,3,2,25.695627
67,998,2548,9,25,2,3,2,32.78552
68,998,2548,9,25,2,3,2,32.78552
69,998,2548,10,28,2,3,2,32.78552
70,998,2548,10,28,2,3,2,32.78552
71,998,2548,10,28,2,3,2,32.78552
72,998,2548,11,32,2,3,2,32.78552
73,998,2548,11,32,2,3,2,32.78552
74,998,2548,11,32,2,3,2,32.78552
75,998,2548,11,32,2,3,2,32.78552
76,998,2548,11,32,2,3,2,32.78552
77,998,2548,11,32,2,3,2,32.78552
78,998,2548,11,32,2,3,2,32.78552
79,998,2548,11,32,2,3,2,32.78552
80,998,2548,11,32,2,3,2,32.78552
81,998,2548,11,32,2,3,2,32.78552
82,998,2548,11,32,2,3,2,32.78552
83,997,2545,12,37,3,6,3,32.78552
84,997,2545,12,37,3,6,3,36.996357
85,997,2545,12,37,3,6,3,36.996357
86,997,2545,12,37,3,6,3,36.996357
87,997,2545,12,37,3,6,3,36.996357
88,996,2542,12,37,4,9,4,36.996357
89,996,2542,12,37,4,9,4,31.981749
90,996,2542,12,37,4,9,4,31.981749
91,996,2542,12,37,4,9,4,31.981749
92,996,2542,12,37,4,9,4,31.981749
93,995,2537,12,37,5,14,5,31.981749
94,995,2537,12,37,5,14,5,37.40644
95,995,2537,13,41,5,14,5,37.40644
96,995,2537,13,41,5,14,5,37.40644
97,995,2537,13,41,5,14,5,37.40644
98,995,2537,13,41,5,14,5,37.40644
99,995,2537,13,41,5,14,5,37.40644
100,995,2537,13,41,5,14,5,37.40644
101,995,2537,13,41,5,14,5,37.40644
102,994,2535,13,41,6,16,6,37.40644
103,994,2535,14,44,6,16,6,39.2039
104,994,2535,14,44,6,16,6,39.2039
105,993,2532,14,44,7,19,7,39.2039
106,993,2532,14,44,7,19,7,39.032124
107,993,2532,14,44,7,19,7,39.032124
108,993,2532,14,44,7,19,7,39.032124
109,992,2527,14,44,8,24,8,39.032124
110,992,2527,14,44,8,24,8,37.131973
111,992,2527,14,44,8,24,8,37.131973
112,992,2527,14,44,8,24,8,37.131973
113,992,2527,14,44,8,24,8,37.131973
114,992,2527,14,44,8,24,8,37.131973
115,992,2527,14,44,8,24,8,37.131973
116,992,2527,15,48,8,24,8,37.131973
117,991,2524,16,49,9,27,9,37.131973
118,991,2524,17,51,9,27,9,38.029503
119,991,2524,17,51,9,27,9,38.029503
120,991,2524,17,51,9,27,9,38.029503
121,991,2524,17,51,9,27,9,38.029503
122,991,2524,17,51,9,27,9,38.029503
123,989,2519,17,51,11,32,11,38.029503
124,989,2519,17,51,11,32,11,39.04163
125,988,2515,17,51,12,36,12,39.04163
126,988,2515,17,51,12,36,12,40.100227
127,988,2515,17,51,12,36,12,40.100227
128,988,2515,17,51,12,36,12,40.100227
129,988,2515,17,51,12,36,12,40.100227
130,988,2515,17,51,12,36,12,40.100227
131,988,2515,17,51,12,36,12,40.100227
132,988,2515,17,51,12,36,12,40.100227
133,988,2515,17,51,12,36,12,40.100227
134,988,2515,17,51,12,36,12,40.100227
135,988,2515,17,51,12,36,12,40.100227
136,988,2515,18,55,12,36,12,40.100227
137,988,2515,18,55,12,36,12,40.100227
138,988,2515,18,55,12,36,12,40.100227
139,987,2512,18,55,13,39,13,40.100227
140,987,2512,18,55,13,39,13,39.273796
141,987,2512,18,55,13,39,13,39.273796
