Time [s],ArrivalIndex [-]
0.0, 0
673,1
751,2
788,3
858,4
859,5
861,6
863,7
864,8
864,9
866,10
866,11
868,12
898,13
900,14
1006,15
1013,16
1015,17
1016,18
1016,19
1017,20
1018,21
1018,22
1019,23
1020,24
1021,25
1022,26
1048,27
1051,28
1055,29
1055,30
1056,31
1060,32
1062,33
1063,34
1065,35
1068,36
1070,37
1072,38
1121,39
1126,40
1147,41
1148,42
1148,43
1149,44
1150,45
1150,46
1151,47
1153,48
1155,49
1157,50
1182,51
1183,52
1190,53
1190,54
1191,55
1191,56
1192,57
1193,58
1226,59
1226,60
1227,61
1230,62
1231,63
1232,64
1232,65
1233,66
1235,67
1236,68
1236,69
1237,70
1238,71
1238,72
1240,73
1240,74
1241,75
1243,76
1244,77
1246,78
1247,79
1251,80
1265,81
1267,82
1268,83
1279,84
1280,85
1280,86
1282,87
1282,88
1284,89
1286,90
1286,91
1288,92
1289,93
1290,94
1291,95
1291,96
1293,97
1326,98
1327,99
1328,100
1331,101
1333,102
1333,103
1333,104
1335,105
1337,106
1338,107
1340,108
1340,109
1350,110
1369,111
1370,112
1371,113
1373,114
1375,115
1376,116
1377,117
1378,118
1380,119
1382,120
1411,121
1444,122
1446,123
1446,124
1448,125
1448,126
1450,127
1451,128
1454,129
1456,130
1457,131
1458,132
1462,133
1462,134
1463,135
1464,136
1465,137
1465,138
1466,139
1467,140
1468,141
1469,142
1502,143
1503,144
1504,145
1505,146
1508,147
1508,148
1515,149
1540,150
1542,151
1543,152
1545,153
1545,154
1545,155
1546,156
1547,157
1547,158
1548,159
1549,160
1549,161
1549,162
1551,163
1552,164
1552,165
1553,166
1554,167
1555,168
1555,169
1557,170
1557,171
1558,172
1559,173
1560,174
1560,175
1561,176
1562,177
1563,178
1563,179
1564,180
1566,181
1566,182
1568,183
1569,184
1573,185
1604,186
1604,187
1606,188
1609,189
1611,190
1612,191
1613,192
1614,193
1615,194
1616,195
1616,196
1618,197
1620,198
1620,199
1621,200
1623,201
1625,202
1628,203
1631,204
1632,205
1634,206
1668,207
