Latitide,55.71177,,,,,,,,,,,,,,
Longitude,13.53659,,,,,,,,,,,,,,
Elevation,119,,,,,,,,,,,,,,
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m],FFMC hourly [-],FFMC [-],DMC [-],DC [-],ISI [-],BUI [-],FWI [-]
2025-01-01T00:00,4.3,95,0.5,0,0,100,0,1135,73.7001631,0,0,0,0,0,0
2025-01-01T01:00,4.8,97,0.7,0,0,100,0,1075,60.87267578,0,0,0,0,0,0
2025-01-01T02:00,5,97,1,0,0,100,0,1125,46.86248131,0,0,0,0,0,0
2025-01-01T03:00,5.2,97,1.4,0,0,100,0,1170,32.94361365,0,0,0,0,0,0
2025-01-01T04:00,5.8,96,1.4,0,0,100,0,1240,23.44981209,0,0,0,0,0,0
2025-01-01T05:00,6.3,96,1.1,0,0,100,0,1250,18.19619102,0,0,0,0,0,0
2025-01-01T06:00,6.7,96,1.1,0,0,100,0,1300,14.28066226,0,0,0,0,0,0
2025-01-01T07:00,6.9,96,1.1,0,0,100,0,1350,11.25133817,0,0,0,0,0,0
2025-01-01T08:00,7.1,96,1.4,0,0,100,0,1375,8.251866094,0,0,0,0,0,0
2025-01-01T09:00,7.2,96,1.5,0,0,100,0,1395,5.787359994,0,0,0,0,0,0
2025-01-01T10:00,7.2,96,1.8,0,0,100,0,1475,3.504540217,0,0,0,0,0,0
2025-01-01T11:00,7.1,96,1.8,0,0,100,0,1560,1.373394257,0,0,0,0,0,0
2025-01-01T12:00,6.9,96,1.4,0,0,100,0,1625,0.01003146,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T13:00,6.9,96,1.5,0,0,100,0,1565,0.01003146,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T14:00,6.8,96,1.6,0,0,100,0,1595,0.009994091,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T15:00,6.6,96,1.3,0,0,100,0,1630,0.009919768,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T16:00,6.6,97,0.9,0,0,100,0,1415,0.006057168,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T17:00,6.6,97,0.5,0,0,100,0,1240,0.006057168,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T18:00,6.3,96,0.5,0,0,100,0,1150,0.009809319,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T19:00,5.8,95,0.7,0,0,100,0,1115,0.014124295,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T20:00,5.6,96,0.9,0,0,100,0,1205,0.009556362,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T21:00,5.4,95,1.2,0,0,100,0,1140,0.013915014,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T22:00,5.1,95,1.1,0,0,100,0,1040,0.013760089,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-01T23:00,4.4,87,0.3,0,0,100,0,985,0.069553677,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T00:00,3.5,94,0.1,0,0,100,0,985,0.017735682,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T01:00,2.2,88,0,0,0,100,0,955,0.073543142,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T02:00,1.7,85,0,0,0,100,0,1040,0.154082742,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T03:00,1.2,80,0.1,0,0,100,0,1145,0.129893805,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T04:00,1.4,70,0,0,0,47,0,1210,0.393829152,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T05:00,0.2,80,0.1,0,0,58,0,875,0.125137102,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T06:00,-0.4,81,0.2,0,0,48,0,850,0.111990555,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T07:00,-0.9,80,0.1,0,0,13,0,940,0.120105708,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T08:00,-1.2,79,0,0,0,3,1,1005,0.249383263,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T09:00,-0.9,71,0,0,0,1,25,895,0.477920754,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T10:00,0.1,65,0,0,0,16,77,1060,0.806832476,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T11:00,0.9,66,0,0,0,76,79,1180,1.129576041,66.95602019,6.0393952,15.94600002,1.032573646,6.204270202,0
2025-01-02T12:00,1.4,62,0,0,0,70,38,1185,1.52904768,73.43172849,6.156349699,15.94600002,1.020748156,6.265408067,0
2025-01-02T13:00,1.4,68,0,0,0,44,19,1040,1.825891466,73.43172849,6.156349699,15.94600002,1.020748156,6.265408067,0
