Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,33726,100000,0,0,0,0,0,0
1,33726,100000,10,33,0,0,0,0
2,33726,100000,8,26,0,0,0,0
3,33726,100000,16,49,0,0,0,0
4,33726,100000,11,31,0,0,0,0
5,33726,100000,13,35,0,0,0,0
6,33726,100000,9,29,0,0,0,0
7,33726,100000,14,41,0,0,0,0
8,33726,100000,14,43,0,0,0,0
9,33726,100000,6,18,0,0,0,0
10,33726,100000,10,27,0,0,0,0
11,33726,100000,4,14,0,0,0,0
12,33726,100000,8,25,0,0,0,0
13,33726,100000,9,19,0,0,0,0
14,33726,100000,13,50,0,0,0,0
15,33726,100000,13,39,0,0,0,0
16,33726,100000,13,47,0,0,0,0
17,33726,100000,12,31,0,0,0,0
18,33726,100000,6,17,0,0,0,0
19,33726,100000,14,41,0,0,0,0
20,33726,100000,8,25,0,0,0,0
21,33726,100000,16,48,0,0,0,0
22,33726,100000,13,39,0,0,0,0
23,33724,99997,6,15,2,3,3,0
24,33724,99997,13,30,0,0,3,8.493919
25,33724,99997,6,19,0,0,3,8.493919
26,33724,99997,11,39,0,0,3,8.493919
27,33724,99997,10,25,0,0,3,8.493919
28,33724,99997,9,27,0,0,3,8.493919
29,33724,99997,11,29,0,0,3,8.493919
30,33724,99997,8,26,0,0,3,8.493919
31,33724,99997,10,35,0,0,3,8.493919
32,33724,99997,16,59,0,0,3,8.493919
33,33724,99997,10,23,0,0,3,8.493919
34,33724,99997,9,30,0,0,3,8.493919
35,33724,99997,13,38,0,0,3,8.493919
36,33724,99997,6,14,0,0,3,8.493919
37,33724,99997,19,58,0,0,3,8.493919
38,33723,99995,9,21,1,2,5,8.493919
39,33723,99995,5,18,0,0,5,12.67532
40,33722,99992,12,49,1,3,6,12.67532
41,33722,99992,8,22,0,0,6,14.48275
42,33721,99991,18,47,1,1,7,14.48275
43,33719,99987,9,23,2,4,9,17.24301
44,33718,99986,11,30,1,1,10,18.37032
45,33717,99984,14,47,1,2,11,19.96798
46,33717,99984,13,38,0,0,11,20.57616
47,33715,99976,15,56,2,8,13,20.57616
