Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Goal_E, Goal_E flow, Goal: Goal_R, Goal_R flow, Goal: Goal_F, Goal_F flow
0,0,0,0,0, 0,0,0,0,0,0,0,0
1,0,0,0,0, 0,0,0,0,0,0,0,0
2,0,0,0,0, 0,0,0,0,0,0,0,0
3,0,0,0,0, 0,0,0,0,0,0,0,0
4,0,0,0,0, 0,0,0,0,0,0,0,0
5,0,0,0,0, 0,0,0,0,0,0,0,0
6,0,0,0,0, 0,0,0,0,0,0,0,0
7,0,0,0,0, 0,0,0,0,0,0,0,0
8,0,0,0,0, 0,0,0,0,0,0,0,0
9,0,0,0,0, 0,0,0,0,0,0,0,0
10,0,0,0,0, 0,0,0,0,0,0,0,0
11,0,0,0,0, 0,0,0,0,0,0,0,0
12,0,0,0,0, 0,0,0,0,0,0,0,0
13,0,0,0,0, 0,0,0,0,0,0,0,0
14,0,0,0,0, 0,0,0,0,0,0,0,0
15,0,0,0,0, 0,0,0,0,0,0,0,0
16,0,0,0,0, 0,0,0,0,0,0,0,0
17,0,0,0,0, 0,0,0,0,0,0,0,0
18,0,0,0,0, 0,0,0,0,0,0,0,0
19,0,0,0,0, 0,0,0,0,0,0,0,0
20,0,0,0,0, 0,0,0,0,0,0,0,0
21,0,0,0,0, 0,0,0,0,0,0,0,0
22,0,0,0,0, 0,0,0,0,0,0,0,0
23,3,0,2,0, 0,0,0,0,0,0,0,0
24,0,0,3,0, 56.58713,47.15057,0,0,0,0,0,0
25,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
26,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
27,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
28,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
29,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
30,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
31,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
32,0,0,3,0, 55.16241,44.30113,0,0,0,0,0,0
33,0,0,3,0, 54.83117,44.30113,0,0,0,0,0,0
34,0,0,3,0, 54.83117,44.30113,0,0,0,0,0,0
35,0,0,3,0, 54.83117,44.30113,0,0,0,0,0,0
36,0,0,3,0, 54.83117,44.30113,0,0,0,0,0,0
37,0,0,3,0, 54.83117,44.30113,0,0,0,0,0,0
38,2,0,4,0, 36.55411,44.30113,0,0,0,0,0,0
39,0,0,5,0, 57.09682,44.30113,0,0,0,0,0,0
40,1,0,6,0, 40.12457,44.30113,0,0,0,0,0,0
41,0,0,6,0, 35.67171,7.158429,0,0,0,0,0,0
42,1,0,7,0, 28.53737,7.158429,0,0,0,0,0,0
43,2,0,8,0, 26.45972,7.158429,0,0,0,0,0,0
44,1,0,9,0, 32.11171,7.158429,0,0,0,0,0,0
45,1,0,10,0, 36.73477,7.158429,0,0,0,0,0,0
46,0,0,11,0, 36.02226,1,0,0,0,0,0,0
47,2,0,12,0, 33.67818,1,0,0,0,0,0,0
48,0,0,13,0, 34.67427,1,0,0,0,0,0,0
49,0,0,13,0, 40.85205,1,0,0,0,0,0,0
50,1,0,14,0, 38.55426,1,0,0,0,0,0,0
51,0,0,14,0, 42.42274,1,0,0,0,0,0,0
52,5,0,17,0, 32.5883,1,0,0,0,0,0,0
53,2,0,19,0, 38.0475,1,0,0,0,0,0,0
54,1,0,21,0, 39.41855,1,0,0,0,0,0,0
55,1,0,22,0, 41.70328,1,0,0,0,0,0,0
56,0,0,23,0, 38.79518,1,0,0,0,0,0,0
57,1,0,24,0, 40.13936,1,0,0,0,0,0,0
58,4,0,26,0, 38.04316,1,0,0,0,0,0,0
59,2,0,28,0, 40.37329,1,0,0,0,0,0,0
60,1,0,30,0, 40.11548,1,0,0,0,0,0,0
61,2,0,32,0, 37.58925,1,0,0,0,0,0,0
62,3,0,34,0, 40.6704,1,0,0,0,0,0,0
63,0,0,35,0, 42.42453,1,0,0,0,0,0,0
64,3,0,37,0, 38.88343,1,0,0,0,0,0,0
65,2,0,39,0, 40.26151,1,0,0,0,0,0,0
66,1,0,41,0, 40.9528,1,0,0,0,0,0,0
67,1,0,42,0, 40.02596,1,0,0,0,0,0,0
68,0,0,43,0, 38.88117,1,0,0,0,0,0,0
69,1,0,44,0, 38.14042,1,0,0,0,0,0,0
70,2,0,45,0, 38.14977,1,0,0,0,0,0,0
71,1,0,46,0, 39.77879,1,0,0,0,0,0,0
72,5,0,49,0, 37.48493,1,0,0,0,0,0,0
73,3,0,52,0, 40.35351,1,0,0,0,0,0,0
74,0,0,54,0, 39.12565,1,0,0,0,0,0,0
75,1,0,55,0, 39.4058,1,0,0,0,0,0,0
76,5,0,58,0, 39.11102,1,0,0,0,0,0,0
77,3,0,61,0, 39.91805,1,0,0,0,0,0,0
78,10,0,68,0, 36.12293,1,0,0,0,0,0,0
79,6,0,74,0, 36.63696,1,0,0,0,0,0,0
